Wavelength (nm),Abs,Concentration,,,,,,,,,,,,,,,,,
800.0465698,2.43E-05,0.000000201,,,,,,,,,,,,,,,,,
798.9385376,3.57E-05,0.000000201,,,,,,,,,,,,,,,,,
797.9685669,0.000799836,0.000000201,,,,,,,,,,,,,,,,,
796.99823,-5.57E-05,0.000000201,,,,,,,,,,,,,,,,,
796.0275269,-0.00027446,0.000000201,,,,,,,,,,,,,,,,,
795.0564575,-0.000513222,0.000000201,,,,,,,,,,,,,,,,,
793.946228,0.000231016,0.000000201,,,,,,,,,,,,,,,,,
792.9743652,0.000479284,0.000000201,,,,,,,,,,,,,,,,,
792.0020752,-0.000795213,0.000000201,,,,,,,,,,,,,,,,,
791.02948,0.000705551,0.000000201,,,,,,,,,,,,,,,,,
790.0564575,-0.001445498,0.000000201,,,,,,,,,,,,,,,,,
788.9439697,0.000527799,0.000000201,,,,,,,,,,,,,,,,,
787.9702148,0.001717405,0.000000201,,,,,,,,,,,,,,,,,
786.9960327,0.00202358,0.000000201,,,,,,,,,,,,,,,,,
786.0214844,-0.000521755,0.000000201,,,,,,,,,,,,,,,,,
785.0465698,0.00142308,0.000000201,,,,,,,,,,,,,,,,,
783.9318848,0.000606932,0.000000201,,,,,,,,,,,,,,,,,
782.9561768,0.000301909,0.000000201,,,,,,,,,,,,,,,,,
781.9801025,-0.00010348,0.000000201,,,,,,,,,,,,,,,,,
781.0036621,0.000783913,0.000000201,,,,,,,,,,,,,,,,,
780.0268555,0.000873701,0.000000201,,,,,,,,,,,,,,,,,
779.0496826,0.001380256,0.000000201,,,,,,,,,,,,,,,,,
777.9324341,0.000986521,0.000000201,,,,,,,,,,,,,,,,,
776.9544678,-0.001014579,0.000000201,,,,,,,,,,,,,,,,,
775.9761353,0.001000972,0.000000201,,,,,,,,,,,,,,,,,
774.9973755,-0.000167967,0.000000201,,,,,,,,,,,,,,,,,
774.0183105,-0.001751738,0.000000201,,,,,,,,,,,,,,,,,
773.0388794,0.000536533,0.000000201,,,,,,,,,,,,,,,,,
772.059082,0.001253186,0.000000201,,,,,,,,,,,,,,,,,
770.9388428,0.00148435,0.000000201,,,,,,,,,,,,,,,,,
769.958252,0.000310432,0.000000201,,,,,,,,,,,,,,,,,
768.9772949,0.000938889,0.000000201,,,,,,,,,,,,,,,,,
767.9959717,-2.09E-05,0.000000201,,,,,,,,,,,,,,,,,
767.0143433,-0.000503346,0.000000201,,,,,,,,,,,,,,,,,
766.0322876,0.000536455,0.000000201,,,,,,,,,,,,,,,,,
765.0498657,7.42E-05,0.000000201,,,,,,,,,,,,,,,,,
764.0671387,-0.000721102,0.000000201,,,,,,,,,,,,,,,,,
762.9435425,0.000225111,0.000000201,,,,,,,,,,,,,,,,,
761.9599609,-0.000486022,0.000000201,,,,,,,,,,,,,,,,,
760.9760742,0.001067165,0.000000201,,,,,,,,,,,,,,,,,
759.9918213,0.0022027,0.000000201,,,,,,,,,,,,,,,,,
759.0072021,0.000248447,0.000000201,,,,,,,,,,,,,,,,,
758.0222168,0.0001606,0.000000201,,,,,,,,,,,,,,,,,
757.0369263,0.000573805,0.000000201,,,,,,,,,,,,,,,,,
756.0512085,-0.000219716,0.000000201,,,,,,,,,,,,,,,,,
755.0651855,0.00106361,0.000000201,,,,,,,,,,,,,,,,,
753.9378052,0.000670057,0.000000201,,,,,,,,,,,,,,,,,
752.9509888,-0.000866264,0.000000201,,,,,,,,,,,,,,,,,
751.9638672,0.000499731,0.000000201,,,,,,,,,,,,,,,,,
750.9763184,-0.000268924,0.000000201,,,,,,,,,,,,,,,,,
749.9884644,0.000665287,0.000000201,,,,,,,,,,,,,,,,,
749.0002441,4.93E-05,0.000000201,,,,,,,,,,,,,,,,,
748.0116577,0.002150564,0.000000201,,,,,,,,,,,,,,,,,
747.0227051,-5.71E-05,0.000000201,,,,,,,,,,,,,,,,,
746.0333862,0.00068092,0.000000201,,,,,,,,,,,,,,,,,
745.0437622,0.000978115,0.000000201,,,,,,,,,,,,,,,,,
744.053772,0.001368753,0.000000201,,,,,,,,,,,,,,,,,
743.0634155,0.000636199,0.000000201,,,,,,,,,,,,,,,,,
741.9311523,0.000906255,0.000000201,,,,,,,,,,,,,,,,,
740.9400635,0.001330815,0.000000201,,,,,,,,,,,,,,,,,
739.9486084,0.001542485,0.000000201,,,,,,,,,,,,,,,,,
738.9568481,-0.000177127,0.000000201,,,,,,,,,,,,,,,,,
737.9646606,0.000593271,0.000000201,,,,,,,,,,,,,,,,,
736.972168,0.000300537,0.000000201,,,,,,,,,,,,,,,,,
735.9793701,0.000185072,0.000000201,,,,,,,,,,,,,,,,,
734.986145,0.000803389,0.000000201,,,,,,,,,,,,,,,,,
733.9926147,0.000708403,0.000000201,,,,,,,,,,,,,,,,,
732.9987183,0.001490948,0.000000201,,,,,,,,,,,,,,,,,
732.0045166,0.001072095,0.000000201,,,,,,,,,,,,,,,,,
731.0099487,0.001390332,0.000000201,,,,,,,,,,,,,,,,,
730.0150146,0.001078738,0.000000201,,,,,,,,,,,,,,,,,
729.0197144,-4.40E-05,0.000000201,,,,,,,,,,,,,,,,,
728.0241089,0.000688439,0.000000201,,,,,,,,,,,,,,,,,
727.0281372,0.000593634,0.000000201,,,,,,,,,,,,,,,,,
726.0318604,0.000267692,0.000000201,,,,,,,,,,,,,,,,,
725.0352173,5.03E-05,0.000000201,,,,,,,,,,,,,,,,,
724.038208,0.000810573,0.000000201,,,,,,,,,,,,,,,,,
723.0408936,0.001245216,0.000000201,,,,,,,,,,,,,,,,,
722.0432129,0.001434144,0.000000201,,,,,,,,,,,,,,,,,
721.0452271,0.000676435,0.000000201,,,,,,,,,,,,,,,,,
720.046875,0.000836793,0.000000201,,,,,,,,,,,,,,,,,
719.0481567,0.001322974,0.000000201,,,,,,,,,,,,,,,,,
718.0491333,0.000352451,0.000000201,,,,,,,,,,,,,,,,,
717.0498047,-2.69E-05,0.000000201,,,,,,,,,,,,,,,,,
716.0500488,0.000462388,0.000000201,,,,,,,,,,,,,,,,,
715.0500488,0.000356544,0.000000201,,,,,,,,,,,,,,,,,
714.0496216,0.000456506,0.000000201,,,,,,,,,,,,,,,,,
713.0489502,0.000572846,0.000000201,,,,,,,,,,,,,,,,,
712.0478516,0.00026593,0.000000201,,,,,,,,,,,,,,,,,
711.0464478,0.000527125,0.000000201,,,,,,,,,,,,,,,,,
710.0447388,0.000825537,0.000000201,,,,,,,,,,,,,,,,,
709.0426636,0.000696762,0.000000201,,,,,,,,,,,,,,,,,
708.0402832,0.000739363,0.000000201,,,,,,,,,,,,,,,,,
707.0375366,0.000747272,0.000000201,,,,,,,,,,,,,,,,,
706.0344849,0.000869629,0.000000201,,,,,,,,,,,,,,,,,
705.0310669,0.000495248,0.000000201,,,,,,,,,,,,,,,,,
704.0273438,0.001367532,0.000000201,,,,,,,,,,,,,,,,,
703.0232544,0.000747427,0.000000201,,,,,,,,,,,,,,,,,
702.0188599,0.00019714,0.000000201,,,,,,,,,,,,,,,,,
701.0140991,0.001054709,0.000000201,,,,,,,,,,,,,,,,,
700.0090332,0.000741048,0.000000201,,,,,,,,,,,,,,,,,
699.0036621,0.001159114,0.000000201,,,,,,,,,,,,,,,,,
697.9979248,0.000677005,0.000000201,,,,,,,,,,,,,,,,,
696.9918823,0.000860317,0.000000201,,,,,,,,,,,,,,,,,
695.9854736,0.000661683,0.000000201,,,,,,,,,,,,,,,,,
694.9787598,0.001357223,0.000000201,,,,,,,,,,,,,,,,,
693.9717407,0.000760859,0.000000201,,,,,,,,,,,,,,,,,
692.9643555,0.000379965,0.000000201,,,,,,,,,,,,,,,,,
691.956665,0.001260455,0.000000201,,,,,,,,,,,,,,,,,
690.9486694,0.000652946,0.000000201,,,,,,,,,,,,,,,,,
689.9403076,0.000231689,0.000000201,,,,,,,,,,,,,,,,,
688.9316406,0.001870582,0.000000201,,,,,,,,,,,,,,,,,
688.0667725,0.001354808,0.000000201,,,,,,,,,,,,,,,,,
687.0574951,0.001349797,0.000000201,,,,,,,,,,,,,,,,,
686.0479126,0.001404434,0.000000201,,,,,,,,,,,,,,,,,
685.0379639,0.000516577,0.000000201,,,,,,,,,,,,,,,,,
684.02771,0.000553432,0.000000201,,,,,,,,,,,,,,,,,
683.0171509,0.00171808,0.000000201,,,,,,,,,,,,,,,,,
682.0062256,0.002209907,0.000000201,,,,,,,,,,,,,,,,,
680.9949951,0.001103626,0.000000201,,,,,,,,,,,,,,,,,
679.9834595,0.001440144,0.000000201,,,,,,,,,,,,,,,,,
678.9716187,0.001963378,0.000000201,,,,,,,,,,,,,,,,,
677.9594116,0.00214099,0.000000201,,,,,,,,,,,,,,,,,
676.9468994,0.001784746,0.000000201,,,,,,,,,,,,,,,,,
675.934082,0.002957371,0.000000201,,,,,,,,,,,,,,,,,
675.0656738,0.002016168,0.000000201,,,,,,,,,,,,,,,,,
674.0523071,0.002186049,0.000000201,,,,,,,,,,,,,,,,,
673.0385742,0.002340589,0.000000201,,,,,,,,,,,,,,,,,
