Wavelength,Abs,Concentration
799.9783936,0.000573053,3.99E-05
794.9778442,-0.001245037,3.99E-05
789.9673462,-0.002552966,3.99E-05
784.9469604,0.001277148,3.99E-05
780.0567017,0.000699977,3.99E-05
775.0170898,-0.001671807,3.99E-05
769.9678345,-0.006460017,3.99E-05
765.0496216,-0.001906144,3.99E-05
759.9814453,0.002313133,3.99E-05
755.0449829,0.001076766,3.99E-05
749.9581909,-0.002721081,3.99E-05
745.0037231,-0.001023567,3.99E-05
740.0404663,0.001594938,3.99E-05
735.0685425,0.002299913,3.99E-05
729.9454346,-0.001825055,3.99E-05
724.9559326,-0.001406177,3.99E-05
719.9578857,0.000777689,3.99E-05
714.951355,0.00013569,3.99E-05
709.9364014,-0.000443769,3.99E-05
705.0567017,0.000392842,3.99E-05
700.0252686,0.000271603,3.99E-05
694.9855957,-0.000261318,3.99E-05
689.9377441,-0.001966035,3.99E-05
685.0263062,-0.000506086,3.99E-05
679.9624634,0.001379841,3.99E-05
675.0356445,0.002323386,3.99E-05
669.9560547,0.007727983,3.99E-05
665.0139771,0.000826782,3.99E-05
660.0645752,0.000215295,3.99E-05
654.9619141,-0.000470714,3.99E-05
649.9976196,0.003320448,3.99E-05
645.026123,-0.000330386,3.99E-05
640.0474243,-0.001486414,3.99E-05
635.0616455,0.001788931,3.99E-05
630.0687866,0.002381035,3.99E-05
625.0689087,0.002219325,3.99E-05
620.0620728,-0.000478058,3.99E-05
615.0483398,0.002355788,3.99E-05
610.027771,0.004598596,3.99E-05
605.0004272,0.009368035,3.99E-05
599.9663086,0.009386604,3.99E-05
595.0739136,0.012319033,3.99E-05
590.0267334,0.022924386,3.99E-05
584.9729614,0.034778174,3.99E-05
580.0615845,0.057851091,3.99E-05
574.9951172,0.092336759,3.99E-05
570.0714722,0.135993749,3.99E-05
564.9923706,0.213053346,3.99E-05
560.0567017,0.296035141,3.99E-05
554.965271,0.409806788,3.99E-05
550.0177002,0.522790968,3.99E-05
545.0643921,0.640745223,3.99E-05
539.9550171,0.734778345,3.99E-05
534.9901123,0.815578163,3.99E-05
530.0196533,0.86749202,3.99E-05
525.0436401,0.912093639,3.99E-05
520.0620728,0.943300366,3.99E-05
515.0751343,0.973526001,3.99E-05
509.9313965,1.009803534,3.99E-05
504.9335022,1.030879378,3.99E-05
499.9303284,1.029693484,3.99E-05
495.073761,1.004738331,3.99E-05
490.0603333,0.959176183,3.99E-05
485.0417786,0.897738576,3.99E-05
480.0181274,0.824400783,3.99E-05
474.9894409,0.742463112,3.99E-05
469.95578,0.669342816,3.99E-05
465.0699463,0.599094451,3.99E-05
460.0266418,0.525701881,3.99E-05
454.9785461,0.461772114,3.99E-05
449.9256592,0.400875211,3.99E-05
445.0213623,0.364392847,3.99E-05
439.959259,0.337828279,3.99E-05
435.0461426,0.318385035,3.99E-05
429.9749756,0.306488842,3.99E-05
425.0531921,0.303082138,3.99E-05
419.9732361,0.296166599,3.99E-05
415.0429993,0.28882274,3.99E-05
409.9544373,0.278540343,3.99E-05
405.0159607,0.273372024,3.99E-05
400.0734863,0.260766208,3.99E-05
394.9724426,0.250613868,3.99E-05
390.0220337,0.234084681,3.99E-05
385.067749,0.214163259,3.99E-05
379.9547119,0.194967449,3.99E-05
374.9927979,0.174957439,3.99E-05
370.0271912,0.154613882,3.99E-05
365.0579529,0.135991827,3.99E-05
359.929657,0.116961874,3.99E-05
354.9531555,0.107491933,3.99E-05
349.973175,0.10521584,3.99E-05
344.9897461,0.115795344,3.99E-05
340.0028992,0.143316746,3.99E-05
335.0127258,0.188814461,3.99E-05
330.0192566,0.270864904,3.99E-05
325.0225525,0.369646102,3.99E-05
320.0226135,0.435640156,3.99E-05
315.0195618,0.456227303,3.99E-05
310.0133667,0.435482562,3.99E-05
305.0041504,0.390178293,3.99E-05
299.9919434,0.333846033,3.99E-05
294.9767761,0.296652049,3.99E-05
289.9586792,0.288205713,3.99E-05
284.9377747,0.320272505,3.99E-05
280.0710754,0.378816783,3.99E-05
275.0446472,0.463757098,3.99E-05
270.015564,0.528612912,3.99E-05
264.9837952,0.549753964,3.99E-05
259.9494324,0.56007117,3.99E-05
255.0699463,0.623883188,3.99E-05
250.0305939,0.787005484,3.99E-05
245.0186615,1.000602603,3.99E-05
240.0045319,1.065096855,3.99E-05
234.9880371,1.169484496,3.99E-05
229.9692688,1.104523778,3.99E-05
224.9482422,1.179075837,3.99E-05
219.9250183,1.46840632,3.99E-05
215.0567322,1.671266556,3.99E-05
210.0293274,1.659045339,3.99E-05
204.9998779,1.580150843,3.99E-05
199.9680481,1.454826236,3.99E-05
799.9783936,-8.62E-05,2.00E-05
794.9778442,0.001727021,2.00E-05
789.9673462,0.002888649,2.00E-05
784.9469604,0.002340979,2.00E-05
780.0567017,-0.000529976,2.00E-05
775.0170898,-0.000256506,2.00E-05
769.9678345,0.000622304,2.00E-05
765.0496216,-0.001280398,2.00E-05
759.9814453,0.004210925,2.00E-05
755.0449829,0.00017303,2.00E-05
749.9581909,-0.003447699,2.00E-05
745.0037231,0.001768475,2.00E-05
740.0404663,0.001619257,2.00E-05
735.0685425,-0.001060443,2.00E-05
729.9454346,0.003078658,2.00E-05
724.9559326,0.001434482,2.00E-05
719.9578857,0.000136156,2.00E-05
714.951355,0.00060955,2.00E-05
709.9364014,0.000469048,2.00E-05
705.0567017,0.001875028,2.00E-05
700.0252686,0.000830983,2.00E-05
694.9855957,0.001016358,2.00E-05
689.9377441,0.002364403,2.00E-05
685.0263062,0.001338865,2.00E-05
679.9624634,0.0015316,2.00E-05
675.0356445,0.003362576,2.00E-05
669.9560547,0.010714171,2.00E-05
665.0139771,0.001382464,2.00E-05
660.0645752,0.000294682,2.00E-05
654.9619141,0.001003904,2.00E-05
649.9976196,0.002759651,2.00E-05
645.026123,0.002907047,2.00E-05
640.0474243,-3.34E-05,2.00E-05
635.0616455,0.001255211,2.00E-05
630.0687866,0.001409602,2.00E-05
625.0689087,0.002712371,2.00E-05
620.0620728,-0.00018784,2.00E-05
615.0483398,0.003455822,2.00E-05
610.027771,0.004457765,2.00E-05
605.0004272,0.005391648,2.00E-05
599.9663086,0.006177932,2.00E-05
595.0739136,0.006781102,2.00E-05
590.0267334,0.01124674,2.00E-05
584.9729614,0.016456783,2.00E-05
580.0615845,0.027613863,2.00E-05
574.9951172,0.041766703,2.00E-05
570.0714722,0.060149711,2.00E-05
564.9923706,0.096896775,2.00E-05
560.0567017,0.134642541,2.00E-05
554.965271,0.188095078,2.00E-05
550.0177002,0.243509322,2.00E-05
545.0643921,0.301814914,2.00E-05
539.9550171,0.353246182,2.00E-05
534.9901123,0.399226397,2.00E-05
530.0196533,0.429727227,2.00E-05
525.0436401,0.457840532,2.00E-05
520.0620728,0.477008522,2.00E-05
515.0751343,0.491047621,2.00E-05
509.9313965,0.50217557,2.00E-05
504.9335022,0.50613761,2.00E-05
499.9303284,0.499761462,2.00E-05
495.073761,0.486559928,2.00E-05
490.0603333,0.461606026,2.00E-05
485.0417786,0.430945784,2.00E-05
480.0181274,0.39399001,2.00E-05
474.9894409,0.356579691,2.00E-05
469.95578,0.324505329,2.00E-05
465.0699463,0.292002678,2.00E-05
460.0266418,0.251024187,2.00E-05
454.9785461,0.216343314,2.00E-05
449.9256592,0.193906635,2.00E-05
445.0213623,0.175123036,2.00E-05
439.959259,0.161566183,2.00E-05
435.0461426,0.150194839,2.00E-05
429.9749756,0.146199316,2.00E-05
425.0531921,0.144310534,2.00E-05
419.9732361,0.143513084,2.00E-05
415.0429993,0.137138143,2.00E-05
409.9544373,0.13820456,2.00E-05
405.0159607,0.136700496,2.00E-05
400.0734863,0.133259371,2.00E-05
394.9724426,0.132226139,2.00E-05
390.0220337,0.122825824,2.00E-05
385.067749,0.116329677,2.00E-05
379.9547119,0.107879661,2.00E-05
374.9927979,0.098619252,2.00E-05
370.0271912,0.089655943,2.00E-05
365.0579529,0.079277031,2.00E-05
359.929657,0.070512056,2.00E-05
354.9531555,0.068745583,2.00E-05
349.973175,0.06693957,2.00E-05
344.9897461,0.06886851,2.00E-05
340.0028992,0.083026141,2.00E-05
335.0127258,0.10138008,2.00E-05
330.0192566,0.139147177,2.00E-05
325.0225525,0.186793774,2.00E-05
320.0226135,0.215743035,2.00E-05
315.0195618,0.223245412,2.00E-05
310.0133667,0.218162641,2.00E-05
305.0041504,0.203368947,2.00E-05
299.9919434,0.17847079,2.00E-05
294.9767761,0.165639386,2.00E-05
289.9586792,0.16068098,2.00E-05
284.9377747,0.179358542,2.00E-05
280.0710754,0.210435644,2.00E-05
275.0446472,0.252262265,2.00E-05
270.015564,0.289183766,2.00E-05
264.9837952,0.305826664,2.00E-05
259.9494324,0.320555657,2.00E-05
255.0699463,0.345672965,2.00E-05
250.0305939,0.415492445,2.00E-05
245.0186615,0.507678807,2.00E-05
240.0045319,0.568476737,2.00E-05
234.9880371,0.587776303,2.00E-05
229.9692688,0.578570664,2.00E-05
224.9482422,0.598966718,2.00E-05
219.9250183,0.716110468,2.00E-05
215.0567322,0.791000605,2.00E-05
