Wavelength (nm),Abs,Concentration
799.932312,-0.000177955,0.000000202
798.9598389,0.000654528,0.000000202
797.9869995,0.000845378,0.000000202
797.0137329,0.001676163,0.000000202
796.0401001,0.000224438,0.000000202
795.0661011,0.000965195,0.000000202
793.9525146,0.001041008,0.000000202
792.9777222,0.000369265,0.000000202
792.0025024,0.000307064,0.000000202
791.0269775,0.00078954,0.000000202
790.0510254,0.000109304,0.000000202
788.9352417,-0.000146128,0.000000202
787.9585571,0.000618649,0.000000202
786.9814453,-0.000520307,0.000000202
786.0039673,-0.00022515,0.000000202
785.026123,0.000398749,0.000000202
784.0479126,0.000504189,0.000000202
783.0693359,0.000801911,0.000000202
781.9505005,-0.000723789,0.000000202
780.9711304,9.04E-05,0.000000202
779.991394,0.000975391,0.000000202
779.0112915,-0.000191669,0.000000202
778.0308228,0.000323721,0.000000202
777.0499878,0.000499965,0.000000202
776.0687866,-0.000143281,0.000000202
774.9469604,0.001022248,0.000000202
773.9649658,0.000403568,0.000000202
772.982605,0.000698006,0.000000202
771.9998779,0.001039503,0.000000202
771.0167847,0.000950511,0.000000202
770.0333252,0.000758137,0.000000202
769.0494995,0.000950381,0.000000202
768.0653687,0.000906073,0.000000202
766.9401245,0.000830439,0.000000202
765.9551392,0.000653413,0.000000202
764.9698486,0.000756114,0.000000202
763.9841919,0.000486903,0.000000202
762.9981079,0.000715767,0.000000202
762.0117188,0.000409891,0.000000202
761.0249634,0.001332529,0.000000202
760.0378418,0.000373151,0.000000202
759.050415,0.00135177,0.000000202
758.062561,5.99E-05,0.000000202
756.9331665,0.000908979,0.000000202
755.9445801,0.000509553,0.000000202
754.9556274,0.000997106,0.000000202
753.9663086,0.000402947,0.000000202
752.9766235,0.000830257,0.000000202
751.9865723,0.000303412,0.000000202
750.9962158,0.000347036,0.000000202
750.0054932,0.001242802,0.000000202
749.0144043,0.000796179,0.000000202
748.0229492,0.001231042,0.000000202
747.0311279,1.39E-05,0.000000202
746.0390015,-5.39E-05,0.000000202
745.0465088,0.001020147,0.000000202
744.0536499,0.001414276,0.000000202
743.0604248,0.000411989,0.000000202
742.0668945,0.000294682,0.000000202
740.9309692,0.001020406,0.000000202
739.9366455,0.001235169,0.000000202
738.9420166,0.001561683,0.000000202
737.9470215,0.001010728,0.000000202
736.9516602,0.00118764,0.000000202
735.9559326,0.000541535,0.000000202
734.9598999,0.000621034,0.000000202
