FP KA diluted,,
Wavelength (nm),Abs,
800.0465698,0.000856323,
798.9385376,0.002026648,
797.9685669,-0.000891012,
796.99823,0.003352768,
796.0275269,-0.000352734,
795.0564575,0.001125919,
793.946228,0.001222112,
792.9743652,0.001613203,
792.0020752,0.002025036,
791.02948,0.002306809,
790.0564575,0.001929133,
788.9439697,0.000198746,
787.9702148,0.00217494,
786.9960327,0.001902743,
786.0214844,0.001861977,
785.0465698,0.001188185,
783.9318848,0.000922079,
782.9561768,0.001616139,
781.9801025,0.000799706,
781.0036621,4.16E-05,
780.0268555,-0.000356355,
779.0496826,0.001200489,
777.9324341,0.002506718,
776.9544678,0.00229044,
775.9761353,0.001348888,
774.9973755,0.002360187,
774.0183105,0.003042188,
773.0388794,-2.00E-05,
772.059082,0.001731413,
770.9388428,0.002727844,
769.958252,0.001489675,
768.9772949,0.001869568,
767.9959717,0.002848729,
767.0143433,0.001695445,
766.0322876,0.001513313,
765.0498657,0.000951756,
764.0671387,0.00100982,
762.9435425,0.003093154,
761.9599609,0.001781731,
760.9760742,0.000397765,
759.9918213,0.003921097,
759.0072021,0.001689364,
758.0222168,0.000980424,
757.0369263,0.001983739,
756.0512085,0.002323594,
755.0651855,0.002824028,
753.9378052,0.002085871,
752.9509888,0.001089742,
751.9638672,0.003030718,
750.9763184,0.002794691,
749.9884644,0.003482307,
749.0002441,0.00258577,
748.0116577,0.002732403,
747.0227051,0.001980748,
746.0333862,0.000197399,
745.0437622,0.002886251,
744.053772,0.001443702,
743.0634155,0.004075576,
741.9311523,0.001991358,
740.9400635,0.003052902,
739.9486084,0.003162065,
738.9568481,0.002472742,
737.9646606,0.001299139,
736.972168,0.002315267,
735.9793701,0.002576213,
734.986145,0.002831193,
733.9926147,0.001951807,
732.9987183,0.00283643,
732.0045166,0.00298492,
731.0099487,0.002483729,
730.0150146,0.002881431,
729.0197144,0.001754284,
728.0241089,0.00145635,
727.0281372,0.002415211,
726.0318604,0.002062514,
725.0352173,0.00345911,
724.038208,0.002601525,
723.0408936,0.002067507,
722.0432129,0.001907449,
721.0452271,0.002444861,
720.046875,0.00195035,
719.0481567,0.003404605,
718.0491333,0.002073802,
717.0498047,0.002985989,
716.0500488,0.002454909,
715.0500488,0.002418023,
714.0496216,0.002856598,
713.0489502,0.002500495,
712.0478516,0.002430388,
711.0464478,0.002365913,
710.0447388,0.0025452,
709.0426636,0.002749049,
708.0402832,0.002438848,
707.0375366,0.001516326,
706.0344849,0.002693487,
705.0310669,0.003026782,
704.0273438,0.002827441,
703.0232544,0.002199708,
702.0188599,0.002499246,
701.0140991,0.002929641,
700.0090332,0.002646527,
699.0036621,0.002887997,
697.9979248,0.002726281,
696.9918823,0.003252059,
695.9854736,0.003492562,
694.9787598,0.002709845,
693.9717407,0.003240845,
692.9643555,0.003377577,
691.956665,0.00194008,
690.9486694,0.002969386,
689.9403076,0.003933295,
688.9316406,0.003476592,
688.0667725,0.002890056,
687.0574951,0.002822855,
686.0479126,0.002846279,
685.0379639,0.004127604,
684.02771,0.002760902,
683.0171509,0.003441289,
682.0062256,0.002329997,
680.9949951,0.003368942,
679.9834595,0.002972801,
678.9716187,0.002916793,
677.9594116,0.003344472,
676.9468994,0.003405936,
675.934082,0.003319091,
675.0656738,0.004387105,
674.0523071,0.0031926,
673.0385742,0.004031262,
672.0244751,0.003633707,
671.0101318,0.003319535,
669.9954224,0.003937214,
668.9804077,0.004884191,
667.9650879,0.003622065,
666.9494629,0.003556578,
665.9335327,0.004162937,
665.062439,0.003095448,
664.0458984,0.003539562,
663.0290527,0.003269273,
662.0119019,0.003673177,
660.9944458,0.003503183,
659.9766235,0.003478523,
658.9585571,0.003290921,
657.9401245,0.00406387,
657.0669556,0.002772625,
656.0479736,0.003364872,
655.0286865,0.004091516,
654.0090332,0.003016668,
652.9891357,0.003047662,
651.9689331,0.002920911,
650.9483643,0.003709779,
649.9275513,0.002753295,
649.0523071,0.004327098,
648.0308838,0.00334429,
647.0091553,0.004103458,
645.9871216,0.003880925,
644.9648438,0.003750901,
643.9421997,0.003703383,
643.0653687,0.003637936,
642.0421753,0.003986874,
641.0186768,0.004336014,
639.994873,0.004161945,
638.9707642,0.003638771,
