FPKApd,,
Wavelength (nm),Abs,
800.0012817,0.000260154,
799.0314331,-0.000284963,
798.0611572,0.001519885,
796.9518433,-0.000665071,
795.9807739,9.98E-05,
795.0093384,0.002035465,
794.0375366,-0.000133448,
793.0653687,0.001581818,
791.9537964,0.001430041,
790.980835,0.000279296,
790.0074463,-0.000317712,
789.0337524,0.001907552,
788.0596313,-0.000644445,
786.9459229,0.000672702,
785.9710083,-3.89E-05,
784.9957275,-0.0006843,
784.0200806,0.001013349,
783.0440674,-6.58E-05,
782.067688,-0.000392564,
780.951355,-0.00153001,
779.9741821,0.001725721,
778.9966431,0.001104378,
778.0187378,0.002360968,
777.0404053,0.001301605,
776.0617676,0.002404383,
774.9428711,-0.00049321,
773.9634399,0.001821189,
772.9836426,0.002494689,
772.003479,0.001519937,
771.0229492,0.001239089,
770.0420532,0.00044215,
769.060791,0.00113438,
767.9389038,0.000580207,
766.9569092,0.001904433,
765.9744873,-0.00027089,
764.9917603,0.000691395,
764.008606,0.00121557,
763.0251465,0.000988986,
762.0413208,0.001767176,
761.0571289,0.000712863,
759.9318848,0.000743563,
758.9468994,0.001322325,
757.9616089,0.000561078,
756.9758911,0.00088929,
755.9898682,0.001022041,
755.003479,0.001892551,
754.0167236,0.001281172,
753.0296021,0.001258975,
752.0421143,0.000342347,
751.0543213,0.000895749,
750.0661011,0.001080815,
748.9363403,0.00028256,
747.9473877,0.001096359,
746.9581299,0.002053801,
745.9684448,0.001861535,
744.9784546,0.001004371,
743.9881592,0.000794105,
742.9974365,0.000447644,
742.0064087,-0.000108811,
741.0150146,0.001540381,
740.0232544,0.001312848,
739.0311279,0.000126886,
738.0386963,0.00076952,
737.0458984,0.001312173,
736.0527344,0.001128514,
735.0592651,0.000674828,
734.0654297,0.000659557,
732.9291992,0.000768561,
731.9346313,0.000331545,
730.9396973,0.001071602,
729.944397,0.001787398,
728.9487915,-0.000532717,
727.9528198,2.06E-05,
726.956543,-0.000235498,
725.9598999,0.000914893,
724.9628906,0.000717919,
723.9655762,0.001555604,
722.9678955,0.000119869,
721.9699097,0.000259636,
720.9715576,0.001262895,
719.9728394,0.001514534,
718.9738159,0.00023516,
717.9744263,0.00061082,
716.9747314,0.000968619,
715.9746704,0.001171469,
714.9742432,0.001244826,
713.9735107,0.000361234,
712.9724731,0.000603044,
711.9710693,0.000715689,
710.9692993,0.001172481,
709.9672241,0.000701714,
708.9648438,0.000652739,
707.9620972,0.000890717,
706.9590454,0.000927007,
705.9556274,0.001100667,
704.9518433,0.000283932,
703.9477539,0.001962208,
702.9433594,0.000614916,
701.9385986,0.000986884,
700.9335327,0.000844963,
699.9281616,0.000491464,
699.0661011,0.001699239,
698.0600586,0.00038595,
697.0537109,0.000846415,
696.0470581,0.001419548,
695.0400391,0.000965895,
694.0327148,0.000900185,
693.0250854,0.000620516,
692.0170898,0.001120105,
691.008728,0.000955388,
690.0001221,0.001298282,
688.9911499,0.002172364,
687.9818726,0.001190599,
686.972229,0.001469285,
685.9622803,0.001808426,
684.9520264,0.00075531,
683.9414063,0.000873234,
682.930481,0.001267335,
682.0637817,0.000775666,
681.0522461,0.000444923,
680.0404053,0.000968956,
679.0282593,0.001103807,
678.0158081,0.001775493,
677.0029907,0.001398201,
675.9898682,0.001759092,
674.9764404,0.000894634,
673.9627075,0.000587621,
672.9486084,0.000983771,
671.9342041,0.00098333,
671.0645142,0.001257651,
670.0494995,0.000586065,
669.0342407,0.001368285,
668.0186157,0.000780075,
667.0026855,0.002184228,
665.9864502,0.001929003,
664.9699097,0.001322039,
663.9530029,0.000943558,
662.9358521,0.001743186,
662.0637207,0.00082922,
661.0459595,0.001280679,
660.0278931,0.000976351,
659.0095215,0.000885737,
657.9907837,0.002111752,
656.9718018,0.00069894,
655.9524536,0.001037972,
654.9328613,0.001504948,
654.0585938,0.001078583,
653.0383911,0.002361488,
652.0178833,0.001845235,
650.9970703,0.002010654,
649.9759521,0.002061812,
648.9545288,0.001604057,
647.9328003,0.000719579,
647.0567627,0.001876562,
646.0344849,0.000974223,
645.0118408,0.001632067,
643.9889526,0.001582493,
642.9656982,0.001949518,
641.9421997,0.001623622,
641.0646362,0.000948825,
640.0405273,0.002087353,
639.0161743,0.002081475,
637.9914551,0.001666678,
636.9664917,0.002285131,
635.9411621,0.00134894,
635.0621338,0.001862185,
634.0362549,0.001622193,
633.0101318,0.001714156,
631.9836426,0.002010186,
630.9569092,0.001243762,
629.9298706,0.0010565,
629.0493164,0.001157401,
628.0217285,0.002072865,
626.9938354,0.002151006,
625.9656372,0.00164615,
624.9371338,0.001327336,
624.0553589,0.001442118,
623.0263062,0.001553448,
621.9970093,0.001736559,
620.9673462,0.001525859,
619.937439,0.001133445,
619.0544434,0.001186965,
618.0239868,0.001993673,
616.9932251,0.00119984,
615.9621582,0.001784174,
614.9308472,0.001841804,
614.0466309,0.001712909,
613.0147705,0.001378101,
611.982605,0.001726007,
610.9501343,0.0020641,
610.0649414,0.002106107,
609.0319824,0.001872272,
607.9987183,0.002067247,
606.9651489,0.001397526,
605.9312744,0.002928103,
605.0449219,0.00212351,
604.0105591,0.002999569,
602.9758911,0.002541894,
601.940918,0.001926689,
601.0535889,0.002683042,
600.0181274,0.003027746,
598.9823608,0.002859308,
597.9463501,0.003170591,
597.0580444,0.002395767,
596.0214844,0.002585509,
594.9846802,0.003310379,
593.9475098,0.003175937,
593.0583496,0.003424147,
592.0206909,0.004071395,
590.9827881,0.003374368,
589.9445801,0.003582156,
589.0544434,0.004033979,
588.0157471,0.004430096,
586.9767456,0.004855578,
585.937439,0.004715737,
585.0464478,0.005693029,
584.0066528,0.005650437,
582.9665527,0.006184548,
581.9262085,0.006672918,
581.0343018,0.006598638,
579.9934082,0.007100947,
578.9523315,0.008389943,
578.0596924,0.008890867,
577.0180664,0.009458717,
575.9761353,0.009916858,
574.93396,0.011123548,
574.0404663,0.012555232,
572.9978027,0.013217098,
571.954834,0.014543515,
571.0606689,0.015374021,
570.0172119,0.016834287,
568.9735107,0.017920645,
567.9295044,0.02057904,
567.0344238,0.022431662,
565.9899292,0.024183473,
564.9451904,0.02627781,
564.0494995,0.027920002,
563.0042114,0.029546786,
561.9587402,0.032327034,
561.0623169,0.034772538,
560.0163574,0.036703628,
558.9700317,0.041007612,
558.0730591,0.042493127,
557.0263062,0.046116199,
555.979248,0.049636412,
554.9319458,0.05373539,
554.0340576,0.055958997,
552.9863281,0.059430718,
551.9382935,0.063058592,
551.0397339,0.065987207,
549.9912109,0.070253894,
548.9424438,0.074017137,
548.0432739,0.07706552,
546.9940186,0.080766723,
545.944519,0.083840691,
545.0447388,0.086062737,
543.994751,0.089259915,
542.944458,0.092901416,
542.0440674,0.095358908,
540.9933472,0.098179817,
539.9423218,0.100900583,
539.0412598,0.102981575,
537.9898071,0.105444074,
536.9381104,0.108406566,
536.036438,0.11010474,
534.9842529,0.113398127,
533.9318237,0.11433351,
533.029541,0.115164131,
531.9766235,0.117617838,
531.0739746,0.118648045,
530.0205688,0.120787308,
528.96698,0.121595502,
528.0636597,0.122392751,
527.0095825,0.124545828,
525.9552612,0.124677301,
525.0513306,0.125765145,
523.996521,0.126956239,
522.9415283,0.128112465,
522.0369873,0.128024891,
520.9815063,0.129029214,
519.9257813,0.129503697,
519.0206299,0.130480021,
517.9644165,0.131523997,
517.0588989,0.131528348,
516.0022583,0.131623,
514.9453735,0.132187679,
514.0392456,0.133353666,
512.9819336,0.133866936,
512.0754395,0.133458301,
511.0176392,0.134651437,
509.9595947,0.133861378,
509.0525208,0.13413997,
507.9940186,0.135317236,
506.9353027,0.134796113,
506.0276489,0.134732842,
504.9684753,0.135351598,
504.0604248,0.134993404,
503.000824,0.134670183,
501.9409485,0.132954374,
501.0323181,0.133632645,
499.9720459,0.133270145,
499.0630188,0.132648617,
498.0023193,0.131760076,
496.9413452,0.130758241,
496.0317688,0.129283041,
494.9703674,0.128604114,
494.0604248,0.127540767,
492.9985657,0.126119256,
491.9365234,0.124605417,
491.026001,0.124258816,
489.963501,0.121246606,
489.0526123,0.11991708,
487.9896851,0.118057616,
486.9265137,0.116510436,
486.0150757,0.115363814,
484.9514771,0.112749003,
484.0396729,0.111504026,
482.975647,0.10962975,
482.0634766,0.108570963,
480.999054,0.106838197,
479.9343872,0.103927359,
479.021637,0.102253676,
477.9565735,0.100956038,
477.043457,0.098806731,
475.9779663,0.096954338,
475.0645142,0.094569378,
473.9985962,0.093095042,
472.9324646,0.091197655,
472.0184631,0.089134857,
470.9519043,0.086946003,
470.0375366,0.086148873,
468.9705811,0.083871499,
468.0558472,0.081841215,
466.9884949,0.080428183,
466.0734253,0.077705964,
