G2 FP Diluted,,
Wavelength (nm),Abs,
800.0465698,-0.003136073,
798.9385376,-0.003538498,
797.9685669,-0.00426375,
796.99823,-0.00395353,
796.0275269,-0.003290398,
795.0564575,-0.003626814,
793.946228,-0.00231007,
792.9743652,-0.003531155,
792.0020752,-0.004001804,
791.02948,-0.004611145,
790.0564575,-0.004740366,
788.9439697,-0.003551387,
787.9702148,-0.003234748,
786.9960327,-0.002409397,
786.0214844,-0.005271498,
785.0465698,-0.003458177,
783.9318848,-0.00472828,
782.9561768,-0.00322889,
781.9801025,-0.004762079,
781.0036621,-0.004227504,
780.0268555,-0.002487802,
779.0496826,-0.00611803,
777.9324341,-0.003620807,
776.9544678,-0.004172846,
775.9761353,-0.003811142,
774.9973755,-0.004070896,
774.0183105,-0.005750535,
773.0388794,-0.003724198,
772.059082,-0.002854518,
770.9388428,-0.005757994,
769.958252,-0.004826749,
768.9772949,-0.004335209,
767.9959717,-0.00393029,
767.0143433,-0.004325778,
766.0322876,-0.004607456,
765.0498657,-0.003275805,
764.0671387,-0.004423825,
762.9435425,-0.004684288,
761.9599609,-0.004738523,
760.9760742,-0.004422595,
759.9918213,-0.003888987,
759.0072021,-0.003880008,
758.0222168,-0.003904328,
757.0369263,-0.00578875,
756.0512085,-0.003899044,
755.0651855,-0.00471558,
753.9378052,-0.004079615,
752.9509888,-0.003942141,
751.9638672,-0.004673686,
750.9763184,-0.004585531,
749.9884644,-0.004350177,
749.0002441,-0.003206433,
748.0116577,-0.003714753,
747.0227051,-0.004530048,
746.0333862,-0.004064741,
745.0437622,-0.004407374,
744.053772,-0.003941167,
743.0634155,-0.003267327,
741.9311523,-0.004435868,
740.9400635,-0.002591154,
739.9486084,-0.004073255,
738.9568481,-0.004114181,
737.9646606,-0.003604788,
736.972168,-0.005120075,
735.9793701,-0.004373087,
734.986145,-0.004896426,
733.9926147,-0.003688368,
732.9987183,-0.004757163,
732.0045166,-0.004389129,
731.0099487,-0.00428277,
730.0150146,-0.004433664,
729.0197144,-0.004978939,
728.0241089,-0.003853479,
727.0281372,-0.004005754,
726.0318604,-0.004081615,
725.0352173,-0.004523899,
724.038208,-0.004213712,
723.0408936,-0.004038428,
722.0432129,-0.004072434,
721.0452271,-0.005073513,
720.046875,-0.004181512,
719.0481567,-0.004760901,
718.0491333,-0.004117566,
717.0498047,-0.004744719,
716.0500488,-0.004219557,
715.0500488,-0.004064023,
714.0496216,-0.004460055,
713.0489502,-0.00390869,
712.0478516,-0.00459009,
711.0464478,-0.003963791,
710.0447388,-0.004078948,
709.0426636,-0.004222633,
708.0402832,-0.004055406,
707.0375366,-0.004249806,
706.0344849,-0.004595469,
705.0310669,-0.004479271,
704.0273438,-0.00431814,
703.0232544,-0.004571443,
702.0188599,-0.004354431,
701.0140991,-0.004393178,
700.0090332,-0.004606124,
699.0036621,-0.00381612,
697.9979248,-0.004505147,
696.9918823,-0.003950863,
695.9854736,-0.00469955,
694.9787598,-0.004130079,
693.9717407,-0.00393265,
692.9643555,-0.004748406,
691.956665,-0.004173974,
690.9486694,-0.004366168,
689.9403076,-0.004420597,
688.9316406,-0.003773113,
688.0667725,-0.004026169,
687.0574951,-0.004221761,
686.0479126,-0.003488787,
685.0379639,-0.004425568,
684.02771,-0.004393383,
683.0171509,-0.003895247,
682.0062256,-0.004040531,
680.9949951,-0.004171615,
679.9834595,-0.004295586,
678.9716187,-0.004290715,
677.9594116,-0.004237296,
676.9468994,-0.004255035,
675.934082,-0.004272414,
675.0656738,-0.004199202,
674.0523071,-0.004022117,
673.0385742,-0.005371633,
672.0244751,-0.005004581,
671.0101318,-0.004148027,
669.9954224,-0.00397518,
668.9804077,-0.003797183,
667.9650879,-0.00519917,
666.9494629,-0.004319063,
665.9335327,-0.003872927,
665.062439,-0.004824854,
664.0458984,-0.004003189,
663.0290527,-0.004920946,
662.0119019,-0.004587888,
660.9944458,-0.004140027,
659.9766235,-0.004240116,
658.9585571,-0.004718653,
657.9401245,-0.004679422,
657.0669556,-0.003649507,
656.0479736,-0.004882041,
655.0286865,-0.005404614,
654.0090332,-0.003728561,
652.9891357,-0.003053466,
651.9689331,-0.005363196,
650.9483643,-0.005074997,
649.9275513,-0.004485061,
649.0523071,-0.004846921,
648.0308838,-0.004084692,
647.0091553,-0.004630866,
645.9871216,-0.004172179,
644.9648438,-0.004597365,
643.9421997,-0.003851734,
643.0653687,-0.005149494,
642.0421753,-0.004448064,
641.0186768,-0.00468731,
639.994873,-0.005208838,
638.9707642,-0.004825367,
637.9464111,-0.005949387,
637.0680542,-0.004698833,
636.0430908,-0.005497408,
635.0178223,-0.00529702,
633.9922485,-0.0043859,
632.9664307,-0.004410808,
631.9402466,-0.00477826,
631.0604248,-0.004655708,
630.0336914,-0.00504588,
629.0067139,-0.005206382,
627.9793701,-0.005380837,
626.9517822,-0.004626973,
626.0707397,-0.004114951,
625.0425415,-0.004584712,
624.0140991,-0.004332032,
622.9853516,-0.00480079,
621.9562988,-0.004538501,
620.9269409,-0.004095206,
620.0444336,-0.005174,
619.0145874,-0.004827517,
617.984375,-0.005241524,
616.9539185,-0.00469489,
616.0704346,-0.004873236,
615.0394287,-0.004487982,
614.0081177,-0.004051405,
612.9765015,-0.00452062,
611.9446411,-0.004534556,
611.0599365,-0.005316352,
610.0275269,-0.004538911,
608.994812,-0.004838781,
607.961853,-0.004949099,
606.9285278,-0.004573083,
606.0426636,-0.00432747,
605.0088501,-0.005004887,
603.9747314,-0.004511859,
602.9403687,-0.004540192,
602.0535278,-0.00397359,
601.0186157,-0.003723839,
599.9833984,-0.004044327,
598.947937,-0.004315987,
