G2 Icy,,
Wavelength (nm),Abs,
799.932312,0.061822757,
798.9598389,0.062843405,
797.9869995,0.062614851,
797.0137329,0.062534601,
796.0401001,0.062485218,
795.0661011,0.0631883,
793.9525146,0.063269563,
792.9777222,0.062922992,
792.0025024,0.062752411,
791.0269775,0.062998548,
790.0510254,0.063589171,
788.9352417,0.062724449,
787.9585571,0.064221986,
786.9814453,0.063214555,
786.0039673,0.063994914,
785.026123,0.064937986,
784.0479126,0.065228231,
783.0693359,0.064083114,
781.9505005,0.065009683,
780.9711304,0.064815566,
779.991394,0.064767092,
779.0112915,0.066147394,
778.0308228,0.065426447,
777.0499878,0.064899236,
776.0687866,0.066958077,
774.9469604,0.066519812,
773.9649658,0.066368021,
772.982605,0.066191047,
771.9998779,0.06730973,
771.0167847,0.067558624,
770.0333252,0.066701055,
769.0494995,0.067394614,
768.0653687,0.067042589,
766.9401245,0.068374127,
765.9551392,0.067978628,
764.9698486,0.068272397,
763.9841919,0.068505831,
762.9981079,0.068987377,
762.0117188,0.069335118,
761.0249634,0.070276991,
760.0378418,0.068524681,
759.050415,0.069399744,
758.062561,0.070145875,
756.9331665,0.070137575,
755.9445801,0.070422426,
754.9556274,0.071008481,
753.9663086,0.070456341,
752.9766235,0.070355028,
751.9865723,0.071711339,
750.9962158,0.071150653,
750.0054932,0.072740227,
749.0144043,0.071829341,
748.0229492,0.073388942,
747.0311279,0.072768442,
746.0390015,0.071331427,
745.0465088,0.073010437,
744.0536499,0.072155371,
743.0604248,0.073096715,
742.0668945,0.072139263,
740.9309692,0.07354302,
739.9366455,0.073265187,
738.9420166,0.073670261,
737.9470215,0.073247321,
736.9516602,0.074444085,
735.9559326,0.074835256,
734.9598999,0.074651659,
733.963501,0.075267039,
732.9667969,0.075082891,
731.9696655,0.07584589,
730.972229,0.075929284,
729.9744873,0.075937204,
728.9763794,0.076126739,
727.9779053,0.076340273,
726.9790649,0.076145805,
725.9799194,0.076866023,
724.9804077,0.076633766,
723.9805908,0.077825636,
722.9804077,0.077713765,
721.9798584,0.078215525,
720.9790039,0.078324169,
719.9778442,0.078396596,
718.9762573,0.07895387,
717.9744263,0.079558119,
716.972168,0.079446211,
715.9696045,0.079392038,
714.9667358,0.080014296,
713.963501,0.079838462,
712.9598999,0.080364883,
711.9559937,0.080164306,
710.9517822,0.080943093,
709.9472046,0.081878819,
708.9422607,0.081450745,
707.9370117,0.081722282,
706.9314575,0.082365006,
706.0692139,0.082759865,
705.0630493,0.083007336,
704.0565186,0.083116122,
703.0496216,0.083754353,
702.0424194,0.083657652,
701.0349121,0.084344238,
700.0270386,0.084219895,
699.0188599,0.084692359,
698.0103149,0.085181236,
697.0014648,0.085602686,
695.9923096,0.086029537,
694.9827881,0.086423166,
693.9729614,0.086809538,
692.9627686,0.08687596,
691.9522705,0.087133192,
690.9414673,0.087691404,
689.9302979,0.088463478,
689.0633545,0.088556565,
688.0516357,0.088992335,
687.0395508,0.089671373,
686.0271606,0.089988127,
685.0144043,0.090384051,
684.0013428,0.091471836,
682.9879761,0.091459505,
681.9743042,0.09202408,
680.9602661,0.092563093,
679.9459229,0.093516864,
678.9312744,0.094730094,
678.0613403,0.095259555,
677.0460815,0.095919125,
676.0305176,0.09670268,
675.0146484,0.098121375,
673.9984131,0.099016011,
672.9818726,0.100048438,
671.9650269,0.101601228,
670.947876,0.103163891,
669.9304199,0.103735849,
669.0580444,0.105116218,
668.039978,0.107045554,
667.0216064,0.108746126,
666.0028687,0.11113786,
664.9838867,0.11336536,
663.9645386,0.115036622,
662.9448853,0.117841505,
662.0706787,0.119620591,
661.0504761,0.122864641,
660.0299072,0.12569347,
659.0090942,0.1292395,
657.987915,0.133007512,
656.9664917,0.136741951,
655.9447021,0.14048107,
655.0686646,0.144083858,
654.0463257,0.148395255,
653.0236206,0.15301013,
652.0006714,0.158305138,
650.977417,0.164552301,
649.9537964,0.170112312,
648.9299316,0.175972521,
648.052063,0.180478483,
647.0275879,0.186592042,
646.0028687,0.192609206,
644.9777832,0.199814543,
643.9523926,0.206629455,
642.9267578,0.213580534,
642.0473633,0.218814001,
641.0211182,0.224987239,
639.9945679,0.230949849,
638.9677124,0.236256599,
637.9405518,0.241604194,
637.0599365,0.246999219,
636.0322266,0.251506865,
635.0042114,0.255594254,
633.9758911,0.259666801,
632.9473267,0.262811512,
632.0654297,0.2645787,
631.0362549,0.267026275,
630.0067749,0.268401951,
628.9770508,0.26905933,
627.9470215,0.269031137,
627.0638428,0.268744111,
626.0332642,0.267818779,
625.0023804,0.265869498,
623.9711914,0.26415652,
