Grape Kool Aid,,,,
Wavelength (nm),Abs,,505 nm,1.629689932
800.0465698,0.011056363,,630 nm,1.562674403
798.9385376,0.01175161,,,
797.9685669,0.012452208,,,
796.99823,0.011592728,,,
796.0275269,0.013353217,,,
795.0564575,0.010826152,,,
793.946228,0.010985073,,,
792.9743652,0.010726322,,,
792.0020752,0.010540311,,,
791.02948,0.011603761,,,
790.0564575,0.012794493,,,
788.9439697,0.011034165,,,
787.9702148,0.011620725,,,
786.9960327,0.01210037,,,
786.0214844,0.012065982,,,
785.0465698,0.011747168,,,
783.9318848,0.010030382,,,
782.9561768,0.010768645,,,
781.9801025,0.011071153,,,
781.0036621,0.011794964,,,
780.0268555,0.010698358,,,
779.0496826,0.010643175,,,
777.9324341,0.012025103,,,
776.9544678,0.012170885,,,
775.9761353,0.010189515,,,
774.9973755,0.011080633,,,
774.0183105,0.012327529,,,
773.0388794,0.010782232,,,
772.059082,0.012075031,,,
770.9388428,0.012055974,,,
769.958252,0.011655982,,,
768.9772949,0.011511462,,,
767.9959717,0.011479565,,,
767.0143433,0.011000498,,,
766.0322876,0.011013693,,,
765.0498657,0.011377964,,,
764.0671387,0.012247509,,,
762.9435425,0.012370114,,,
761.9599609,0.013150549,,,
760.9760742,0.010199029,,,
759.9918213,0.012229537,,,
759.0072021,0.011849494,,,
758.0222168,0.011912094,,,
757.0369263,0.011159375,,,
756.0512085,0.011304948,,,
755.0651855,0.011647419,,,
753.9378052,0.012887199,,,
752.9509888,0.011809008,,,
751.9638672,0.013141077,,,
750.9763184,0.013535604,,,
749.9884644,0.011763898,,,
749.0002441,0.012747654,,,
748.0116577,0.012108701,,,
747.0227051,0.011694034,,,
746.0333862,0.01223795,,,
745.0437622,0.012084187,,,
744.053772,0.01232412,,,
743.0634155,0.01293272,,,
741.9311523,0.012350459,,,
740.9400635,0.012384444,,,
739.9486084,0.012715773,,,
738.9568481,0.01191627,,,
737.9646606,0.011612004,,,
736.972168,0.013080007,,,
735.9793701,0.012280101,,,
734.986145,0.012809582,,,
733.9926147,0.012577375,,,
732.9987183,0.013622192,,,
732.0045166,0.013384557,,,
731.0099487,0.012845043,,,
730.0150146,0.013280642,,,
729.0197144,0.013800496,,,
728.0241089,0.013584345,,,
727.0281372,0.013353885,,,
726.0318604,0.013461423,,,
725.0352173,0.013471329,,,
724.038208,0.013676151,,,
723.0408936,0.01415334,,,
722.0432129,0.01396679,,,
721.0452271,0.014843093,,,
720.046875,0.01399871,,,
719.0481567,0.015785508,,,
718.0491333,0.015905894,,,
717.0498047,0.015352915,,,
716.0500488,0.015852651,,,
715.0500488,0.016338769,,,
714.0496216,0.016292192,,,
713.0489502,0.017036635,,,
712.0478516,0.017016849,,,
711.0464478,0.016997898,,,
710.0447388,0.016919784,,,
709.0426636,0.017845927,,,
708.0402832,0.01841943,,,
707.0375366,0.018417701,,,
706.0344849,0.018680777,,,
705.0310669,0.020053968,,,
704.0273438,0.01985804,,,
703.0232544,0.021308418,,,
702.0188599,0.021871433,,,
701.0140991,0.022126479,,,
700.0090332,0.023173444,,,
699.0036621,0.021579292,,,
697.9979248,0.024060523,,,
696.9918823,0.025800113,,,
695.9854736,0.026557444,,,
694.9787598,0.027618552,,,
