GKA diluted,,
Wavelength (nm),Abs,
800.0465698,-0.003511846,
798.9385376,-0.002230396,
797.9685669,-0.001126286,
796.99823,-0.003758177,
796.0275269,-0.00260896,
795.0564575,-0.001802113,
793.946228,-0.003289679,
792.9743652,-0.003213422,
792.0020752,-0.002772527,
791.02948,-0.00311726,
790.0564575,-0.003682619,
788.9439697,-0.004526717,
787.9702148,-0.004427156,
786.9960327,-0.003882676,
786.0214844,-0.004016372,
785.0465698,-0.002456967,
783.9318848,-0.002686146,
782.9561768,-0.004411167,
781.9801025,-0.002702868,
781.0036621,-0.003457971,
780.0268555,-0.002388957,
779.0496826,-0.001705741,
777.9324341,-0.003037375,
776.9544678,-0.001581287,
775.9761353,-0.00205091,
774.9973755,-0.001343731,
774.0183105,-0.001741013,
773.0388794,-0.002000306,
772.059082,-0.002067141,
770.9388428,-0.004574978,
769.958252,-0.002895046,
768.9772949,-0.003631435,
767.9959717,-0.002338959,
767.0143433,-0.004861615,
766.0322876,-0.002960046,
765.0498657,-0.002784976,
764.0671387,-0.002098468,
762.9435425,-0.003036398,
761.9599609,-0.002791457,
760.9760742,-0.003984362,
759.9918213,-0.002073376,
759.0072021,0.000307297,
758.0222168,-0.0016896,
757.0369263,-0.00274022,
756.0512085,-0.002783381,
755.0651855,-0.002400902,
753.9378052,-0.003333813,
752.9509888,-0.001398178,
751.9638672,-0.002138705,
750.9763184,-0.001178902,
749.9884644,-0.002970124,
749.0002441,-0.002351626,
748.0116577,-0.002183214,
747.0227051,-0.001119005,
746.0333862,-0.002183935,
745.0437622,-0.004000009,
744.053772,-0.002481316,
743.0634155,-0.003008429,
741.9311523,-0.00196454,
740.9400635,-0.001594131,
739.9486084,-0.001505607,
738.9568481,-0.001862534,
737.9646606,-0.00299465,
736.972168,-0.002805809,
735.9793701,-0.003123017,
734.986145,-0.003042876,
733.9926147,-0.001588973,
732.9987183,-0.002267119,
732.0045166,-0.002899468,
731.0099487,-0.003426793,
730.0150146,-0.00148822,
729.0197144,-0.00312898,
728.0241089,-0.00313448,
727.0281372,-0.00196655,
