Wavelength (nm),Abs
800.0012817,0.037809055
799.0314331,0.036545798
798.0611572,0.037530776
796.9518433,0.03781696
795.9807739,0.037961833
795.0093384,0.037857488
794.0375366,0.037790246
793.0653687,0.036889218
791.9537964,0.039740168
790.980835,0.03639726
790.0074463,0.038339935
789.0337524,0.038843125
788.0596313,0.038928002
786.9459229,0.03879812
785.9710083,0.038855214
784.9957275,0.040365331
784.0200806,0.03792271
783.0440674,0.039047103
782.067688,0.037709545
780.951355,0.038836446
779.9741821,0.040208068
778.9966431,0.03834819
778.0187378,0.038964696
777.0404053,0.041097064
776.0617676,0.039140489
774.9428711,0.040663
773.9634399,0.03986077
772.9836426,0.039659303
772.003479,0.042608187
771.0229492,0.040201478
770.0420532,0.03973126
769.060791,0.040472042
767.9389038,0.04025143
766.9569092,0.040101562
765.9744873,0.041650046
764.9917603,0.040645886
764.008606,0.041719824
763.0251465,0.040611692
762.0413208,0.042242102
761.0571289,0.041097634
759.9318848,0.041401614
758.9468994,0.041161578
757.9616089,0.042269718
756.9758911,0.04285628
755.9898682,0.042519249
755.003479,0.042354267
754.0167236,0.043098398
753.0296021,0.043571506
752.0421143,0.042660985
751.0543213,0.045037806
750.0661011,0.042653531
748.9363403,0.041689452
747.9473877,0.041508324
746.9581299,0.043811332
745.9684448,0.043672111
744.9784546,0.042713936
743.9881592,0.04326532
742.9974365,0.042984582
742.0064087,0.043628633
741.0150146,0.043806035
740.0232544,0.042628489
739.0311279,0.043782584
738.0386963,0.04372653
737.0458984,0.044676613
736.0527344,0.044174358
735.0592651,0.043613032
734.0654297,0.043823704
732.9291992,0.043915458
731.9346313,0.045304101
730.9396973,0.045044068
729.944397,0.045422379
728.9487915,0.045962077
727.9528198,0.045382578
726.956543,0.046293184
725.9598999,0.04686084
724.9628906,0.045749936
723.9655762,0.045733545
722.9678955,0.046259664
721.9699097,0.047499578
720.9715576,0.046800405
719.9728394,0.046705097
718.9738159,0.046302371
717.9744263,0.04694026
716.9747314,0.048029985
715.9746704,0.048239421
714.9742432,0.047288593
713.9735107,0.046960536
712.9724731,0.04812263
711.9710693,0.047945883
710.9692993,0.048350662
709.9672241,0.048185505
708.9648438,0.048460133
707.9620972,0.04937676
706.9590454,0.049372785
705.9556274,0.049132191
704.9518433,0.04945609
703.9477539,0.049071845
702.9433594,0.049786415
701.9385986,0.050202619
700.9335327,0.04981681
699.9281616,0.050118763
699.0661011,0.049973905
698.0600586,0.051072121
697.0537109,0.05110712
696.0470581,0.05147554
695.0400391,0.050729178
694.0327148,0.050694268
693.0250854,0.051478427
692.0170898,0.051933508
691.008728,0.051662769
690.0001221,0.051846139
688.9911499,0.052393653
687.9818726,0.05142061
686.972229,0.052150093
685.9622803,0.052509233
684.9520264,0.054095991
683.9414063,0.052818764
682.930481,0.053363789
682.0637817,0.053018391
