Nyquil,,
Wavelength (nm),Abs,
799.932312,0.003378516,
798.9598389,0.002733888,
797.9869995,0.003534003,
797.0137329,0.001731153,
796.0401001,0.002639703,
795.0661011,0.003357229,
793.9525146,0.002801048,
792.9777222,0.002785442,
792.0025024,0.002644886,
791.0269775,0.00182631,
790.0510254,0.003467694,
788.9352417,0.002856676,
787.9585571,0.002926618,
786.9814453,0.003738473,
786.0039673,0.002502474,
785.026123,0.002555382,
784.0479126,0.002040511,
783.0693359,0.003244444,
781.9505005,0.003022116,
780.9711304,0.002584728,
779.991394,0.002903033,
779.0112915,0.002706328,
778.0308228,0.002111492,
777.0499878,0.002871138,
776.0687866,0.003714557,
774.9469604,0.001854698,
773.9649658,0.002596004,
772.982605,0.003361872,
771.9998779,0.002868688,
771.0167847,0.002677624,
770.0333252,0.002515179,
769.0494995,0.002624702,
768.0653687,0.002977831,
766.9401245,0.002893105,
765.9551392,0.003612198,
764.9698486,0.003066171,
763.9841919,0.002828692,
762.9981079,0.003216878,
762.0117188,0.00295182,
761.0249634,0.003109344,
760.0378418,0.002747486,
759.050415,0.003260901,
758.062561,0.002714507,
756.9331665,0.003406223,
755.9445801,0.002864649,
754.9556274,0.002555433,
753.9663086,0.002991723,
752.9766235,0.003442411,
751.9865723,0.002863008,
750.9962158,0.003379534,
750.0054932,0.003670044,
749.0144043,0.003370507,
748.0229492,0.003091772,
747.0311279,0.003214218,
746.0390015,0.003387021,
745.0465088,0.00290921,
744.0536499,0.003310849,
743.0604248,0.003887872,
742.0668945,0.002444575,
740.9309692,0.003116722,
739.9366455,0.003049695,
738.9420166,0.003117244,
737.9470215,0.003275011,
736.9516602,0.003229109,
735.9559326,0.003038642,
734.9598999,0.003547887,
733.963501,0.003283513,
732.9667969,0.003650727,
731.9696655,0.003319978,
730.972229,0.003122511,
729.9744873,0.004126376,
728.9763794,0.00339957,
727.9779053,0.003557935,
726.9790649,0.003252372,
725.9799194,0.002895398,
724.9804077,0.003695942,
723.9805908,0.003096934,
722.9804077,0.003102435,
721.9798584,0.004232437,
720.9790039,0.003601157,
719.9778442,0.003569549,
718.9762573,0.003881839,
717.9744263,0.00325425,
716.972168,0.003242331,
715.9696045,0.003277176,
714.9667358,0.003285444,
713.963501,0.003389813,
712.9598999,0.003487317,
711.9559937,0.003442489,
710.9517822,0.003398422,
709.9472046,0.0037638,
708.9422607,0.003292825,
707.9370117,0.003362055,
706.9314575,0.003229735,
706.0692139,0.003914227,
705.0630493,0.003790878,
704.0565186,0.00333409,
703.0496216,0.003597059,
702.0424194,0.003045994,
701.0349121,0.003477688,
700.0270386,0.003943039,
699.0188599,0.003882257,
698.0103149,0.003046593,
697.0014648,0.003189523,
695.9923096,0.003057646,
694.9827881,0.003366203,
693.9729614,0.003395865,
692.9627686,0.003718003,
691.9522705,0.003323943,
690.9414673,0.003090494,
689.9302979,0.003360698,
689.0633545,0.003600113,
688.0516357,0.003244574,
687.0395508,0.003947061,
686.0271606,0.003644409,
685.0144043,0.003328352,
684.0013428,0.003557935,
682.9879761,0.003810672,
681.9743042,0.003533429,
680.9602661,0.004145088,
679.9459229,0.003750039,
678.9312744,0.0038523,
678.0613403,0.003652084,
677.0460815,0.003837048,
676.0305176,0.003289643,
675.0146484,0.003450108,
673.9984131,0.003844961,
672.9818726,0.003637779,
671.9650269,0.003619455,
670.947876,0.003903335,
669.9304199,0.003529279,
669.0580444,0.00453134,
668.039978,0.004552999,
667.0216064,0.003331821,
666.0028687,0.003278819,
664.9838867,0.003680278,
663.9645386,0.004340224,
662.9448853,0.003880324,
662.0706787,0.004090105,
661.0504761,0.004451933,
660.0299072,0.00394599,
659.0090942,0.004035312,
657.987915,0.00411425,
656.9664917,0.004237116,
655.9447021,0.004382137,
655.0686646,0.004540495,
654.0463257,0.004537016,
653.0236206,0.004156665,
652.0006714,0.004600951,
650.977417,0.004315124,
649.9537964,0.004606733,
648.9299316,0.004166623,
648.052063,0.004998764,
647.0275879,0.004964043,
646.0028687,0.005157295,
644.9777832,0.004716575,
643.9523926,0.004538455,
642.9267578,0.005246629,
642.0473633,0.005165153,
641.0211182,0.004950925,
639.9945679,0.004748527,
638.9677124,0.00519507,
637.9405518,0.005386039,
637.0599365,0.004997664,
636.0322266,0.005298641,
635.0042114,0.005376525,
633.9758911,0.005287793,
632.9473267,0.005979502,
632.0654297,0.005832083,
631.0362549,0.005881777,
630.0067749,0.005606172,
628.9770508,0.00539571,
627.9470215,0.005366094,
627.0638428,0.00579803,
626.0332642,0.005529924,
625.0023804,0.005970447,
623.9711914,0.006028267,
622.9396973,0.005941396,
622.0552979,0.006268921,
621.0233154,0.006329092,
619.9909668,0.006513545,
618.958374,0.006694527,
618.072998,0.006746922,
617.039856,0.00608179,
616.0064087,0.007063242,
614.9726563,0.006477047,
613.9386597,0.007174207,
613.052124,0.007366339,
612.0175171,0.007636372,
610.982666,0.007528818,
609.9475098,0.007818745,
609.0599976,0.008133499,
608.024353,0.008531976,
606.9884033,0.008860695,
605.9521484,0.00933537,
605.0636597,0.009181071,
604.0269165,0.009710147,
602.9898071,0.010185964,
601.9524536,0.011041466,
601.0631104,0.011679674,
600.0252075,0.012629499,
598.9870605,0.012883279,
597.9486084,0.013753495,
597.0582886,0.015420179,
596.0192871,0.016148727,
594.9800415,0.016638137,
593.9404907,0.018331422,
593.0492554,0.019780792,
592.0092163,0.021567784,
590.9688721,0.023120202,
589.9282227,0.025038259,
589.0360718,0.026877021,
587.9949341,0.028893527,
586.9535522,0.031136552,
586.0606689,0.034045074,
585.0187378,0.037453141,
583.9765625,0.040629145,
582.934082,0.044239931,
582.0403442,0.04751939,
580.9973145,0.05143442,
579.9541016,0.056163903,
579.0596313,0.060816024,
578.0158691,0.066564888,
576.9718018,0.072629906,
575.9274902,0.077860564,
575.0321655,0.084068485,
573.9873657,0.091739386,
572.9422607,0.10074579,
572.0462646,0.107423574,
571.0006714,0.117597811,
569.954834,0.126647085,
569.0581665,0.135351315,
568.0117798,0.146647438,
566.9651489,0.160303697,
566.0678711,0.17224212,
565.020752,0.185924381,
563.9733276,0.199953541,
562.9256592,0.215851352,
562.0274658,0.230975449,
560.9793091,0.250301331,
559.9309082,0.268239975,
559.0320435,0.283980757,
557.9831543,0.300667167,
556.934021,0.320307434,
556.0344849,0.339256764,
554.9848633,0.362837642,
553.9349365,0.382691979,
553.03479,0.40105322,
551.984375,0.419349402,
550.9337158,0.443754226,
550.032959,0.463704735,
548.9818115,0.487361074,
547.9304199,0.508102894,
547.0289917,0.525011003,
545.9771118,0.542636514,
544.9249878,0.562024117,
544.0229492,0.579741359,
542.9702759,0.60110724,
542.0678711,0.616486788,
541.0147705,0.632740974,
539.9614258,0.647020757,
539.0583496,0.6612854,
538.0045166,0.677921236,
536.9504395,0.694318473,
536.0467529,0.705549896,
534.9921875,0.718763769,
533.9373779,0.730805099,
533.0330811,0.739771187,
531.9777832,0.750372112,
531.0731201,0.760055363,
530.017334,0.770748258,
528.9613647,0.781620741,
528.0560303,0.786683917,
526.9995728,0.794033945,
525.9429321,0.803821802,
525.0369873,0.810579598,
523.9797974,0.819108844,
523.0734863,0.824633837,
522.0158691,0.832188904,
520.9580078,0.838819087,
520.0510864,0.845257044,
518.9927368,0.853214562,
517.9342041,0.859030187,
517.0266724,0.864075244,
515.9676514,0.870823145,
515.0596924,0.877384126,
514.0002441,0.885780752,
512.9405518,0.892588913,
512.0319824,0.898810148,
510.9718628,0.90481627,
510.0629578,0.911376238,
509.0023499,0.917091131,
507.9414978,0.923814356,
507.0320129,0.929466069,
505.9707031,0.936073721,
505.0608521,0.93896544,
503.999115,0.942527473,
502.9371338,0.94697243,
502.0266724,0.949708998,
500.9642639,0.950174987,
500.0534363,0.950685501,
498.9905701,0.951682031,
497.9274902,0.951206803,
497.0160828,0.948781371,
495.9525452,0.946175814,
495.0407715,0.941352367,
493.9768066,0.938253045,
493.0646667,0.932091475,
492.0002747,0.924459517,
490.9356384,0.916493237,
490.0229187,0.909474492,
488.9578857,0.898999453,
488.0447998,0.890301824,
486.9793091,0.878372371,
486.0658569,0.865305185,
484.999939,0.851353109,
483.9338074,0.838205874,
483.0197754,0.828107774,
481.9532166,0.813351333,
481.0388489,0.800412715,
479.9718628,0.783773542,
479.0571289,0.772145987,
477.9897156,0.755958319,
477.0746155,0.747346163,
476.0068054,0.732111514,
474.9387512,0.7147246,
474.0231018,0.700502455,
472.9546509,0.683874309,
472.0386353,0.671906352,
470.9697571,0.658085048,
470.0534058,0.645501971,
468.9841003,0.630600095,
468.0674133,0.61880213,
466.9977112,0.603093267,
465.9277649,0.591464877,
465.0105286,0.579620361,
463.9401855,0.56283617,
463.0226135,0.548848689,
461.9518738,0.537171781,
461.033905,0.527124405,
459.9627686,0.515661895,
459.0444946,0.500774026,
