Wavelength (nm),Abs,
799.932312,-0.000813868,
798.9598389,0.000397247,
797.9869995,-0.000486435,
797.0137329,0.00014382,
796.0401001,-0.000453337,
795.0661011,0.000417146,
793.9525146,-0.000657575,
792.9777222,0.000876632,
792.0025024,0.000319447,
791.0269775,0.000388075,
790.0510254,-0.000420702,
788.9352417,0.001048585,
787.9585571,0.000648384,
786.9814453,-0.000968091,
786.0039673,-0.000375702,
785.026123,-0.000221113,
784.0479126,-0.001059359,
783.0693359,-0.001173326,
781.9505005,0.000508024,
780.9711304,-0.000484057,
779.991394,7.40E-05,
779.0112915,0.000121215,
778.0308228,0.00046472,
777.0499878,-0.000218216,
776.0687866,3.42E-06,
774.9469604,0.000283207,
773.9649658,0.000617275,
772.982605,-0.000220234,
771.9998779,-0.000979662,
771.0167847,-0.000129255,
770.0333252,-0.00017749,
769.0494995,-0.000259352,
768.0653687,0.000294242,
766.9401245,0.000128828,
765.9551392,0.000342114,
764.9698486,-0.000425409,
763.9841919,-1.59E-05,
762.9981079,0.000643743,
762.0117188,6.74E-05,
761.0249634,0.000720227,
760.0378418,-0.000104567,
759.050415,-0.000216663,
758.062561,-0.000495847,
756.9331665,-0.000603138,
755.9445801,4.06E-06,
754.9556274,1.52E-05,
753.9663086,-0.000127703,
752.9766235,-0.000381133,
751.9865723,-0.00022577,
750.9962158,-0.000771493,
750.0054932,-0.000230014,
749.0144043,6.96E-06,
748.0229492,-0.000645168,
747.0311279,-9.94E-05,
746.0390015,9.57E-05,
745.0465088,0.000263547,
744.0536499,0.000566444,
743.0604248,0.000341415,
742.0668945,8.09E-05,
740.9309692,1.06E-05,
739.9366455,0.00054379,
738.9420166,0.000275126,
737.9470215,0.000386365,
736.9516602,0.000191391,
735.9559326,5.80E-05,
734.9598999,0.000509709,
733.963501,-0.000210505,
732.9667969,3.29E-05,
731.9696655,6.27E-05,
730.972229,-0.000339543,
729.9744873,-0.000263853,
728.9763794,3.24E-05,
727.9779053,-0.000104204,
726.9790649,-0.000742758,
725.9799194,5.80E-05,
724.9804077,-0.000142608,
723.9805908,0.000287093,
722.9804077,-0.000339491,
721.9798584,-0.000362718,
720.9790039,0.0006313,
719.9778442,0.000439015,
718.9762573,-0.000101409,
717.9744263,-3.73E-05,
716.972168,6.48E-05,
715.9696045,5.31E-05,
714.9667358,-6.17E-05,
713.963501,-0.000786221,
712.9598999,0.000407947,
711.9559937,0.000361907,
710.9517822,0.000736225,
709.9472046,-2.80E-05,
708.9422607,0.000243888,
707.9370117,0.000384836,
706.9314575,0.000214052,
706.0692139,0.000363876,
705.0630493,0.000273416,
704.0565186,0.000259118,
703.0496216,0.000854948,
702.0424194,0.000316416,
701.0349121,0.000698317,
700.0270386,0.000810339,
699.0188599,0.000750435,
698.0103149,0.000860473,
697.0014648,0.000748438,
695.9923096,0.000630029,
694.9827881,0.00043448,
693.9729614,0.000932896,
692.9627686,0.001053801,
691.9522705,0.000918265,
690.9414673,0.000914841,
689.9302979,0.001315989,
689.0633545,0.001530535,
688.0516357,0.00156106,
687.0395508,0.001686973,
686.0271606,0.002528198,
685.0144043,0.002067039,
684.0013428,0.002710418,
682.9879761,0.002558115,
681.9743042,0.002905014,
680.9602661,0.002963756,
679.9459229,0.003605855,
678.9312744,0.003760484,
678.0613403,0.004257845,
677.0460815,0.004471627,
676.0305176,0.005215032,
675.0146484,0.005481319,
673.9984131,0.005907885,
672.9818726,0.007318686,
671.9650269,0.007210974,
670.947876,0.008547975,
669.9304199,0.009234878,
669.0580444,0.009860927,
668.039978,0.011311882,
667.0216064,0.012180922,
666.0028687,0.013470821,
664.9838867,0.01509994,
663.9645386,0.016090324,
662.9448853,0.017843446,
662.0706787,0.019168425,
661.0504761,0.021460479,
660.0299072,0.022983717,
659.0090942,0.02556945,
657.987915,0.027927842,
656.9664917,0.030909931,
655.9447021,0.033894166,
655.0686646,0.036564808,
654.0463257,0.039327037,
653.0236206,0.042276938,
652.0006714,0.046316825,
650.977417,0.050334532,
649.9537964,0.055241968,
648.9299316,0.05863161,
648.052063,0.062748224,
647.0275879,0.066170126,
646.0028687,0.070931762,
644.9777832,0.076045871,
643.9523926,0.081576921,
642.9267578,0.085786901,
642.0473633,0.089884356,
641.0211182,0.09416344,
639.9945679,0.099159427,
638.9677124,0.103607379,
637.9405518,0.107839674,
637.0599365,0.111299947,
636.0322266,0.114154458,
635.0042114,0.118228361,
633.9758911,0.119942159,
632.9473267,0.1226978,
632.0654297,0.124110833,
631.0362549,0.125191078,
630.0067749,0.126242265,
628.9770508,0.126465723,
627.9470215,0.126527026,
627.0638428,0.126189828,
626.0332642,0.12564379,
625.0023804,0.124102287,
623.9711914,0.122054629,
622.9396973,0.119921923,
622.0552979,0.11728856,
621.0233154,0.115117423,
619.9909668,0.11264763,
618.958374,0.109251544,
618.072998,0.105679125,
617.039856,0.102483012,
616.0064087,0.09992177,
614.9726563,0.096443824,
613.9386597,0.093278356,
613.052124,0.090022616,
612.0175171,0.08592093,
610.982666,0.083649866,
609.9475098,0.080255695,
609.0599976,0.077433407,
608.024353,0.074850909,
606.9884033,0.071939364,
605.9521484,0.069490165,
605.0636597,0.066979103,
604.0269165,0.064526282,
602.9898071,0.062622294,
601.9524536,0.060476042,
601.0631104,0.059130915,
600.0252075,0.056906506,
598.9870605,0.055701159,
597.9486084,0.053163715,
597.0582886,0.052698195,
596.0192871,0.05132303,
594.9800415,0.05059636,
593.9404907,0.049805779,
593.0492554,0.048490264,
592.0092163,0.047289427,
590.9688721,0.046621025,
589.9282227,0.045734696,
589.0360718,0.045612276,
587.9949341,0.044856168,
586.9535522,0.044904936,
586.0606689,0.044072952,
585.0187378,0.04347622,
583.9765625,0.043224368,
582.934082,0.043004759,
582.0403442,0.042485818,
580.9973145,0.042326417,
579.9541016,0.042779718,
579.0596313,0.042432182,
578.0158691,0.042133387,
576.9718018,0.042157345,
575.9274902,0.042315058,
575.0321655,0.04213855,
573.9873657,0.042520903,
572.9422607,0.043101657,
572.0462646,0.043076873,
571.0006714,0.043991189,
569.954834,0.044864751,
569.0581665,0.045017678,
568.0117798,0.046581775,
566.9651489,0.047631744,
566.0678711,0.04838958,
565.020752,0.049596019,
563.9733276,0.051514536,
562.9256592,0.053203125,
562.0274658,0.055055246,
560.9793091,0.057567418,
559.9309082,0.06013193,
559.0320435,0.062283736,
557.9831543,0.065144308,
556.934021,0.067801781,
556.0344849,0.070452623,
554.9848633,0.073827483,
553.9349365,0.076993503,
553.03479,0.080091923,
551.984375,0.083052024,
550.9337158,0.087042555,
550.032959,0.089948289,
548.9818115,0.093830556,
547.9304199,0.097685561,
547.0289917,0.100501873,
545.9771118,0.103052162,
544.9249878,0.106783211,
544.0229492,0.109866813,
542.9702759,0.112954371,
542.0678711,0.115501016,
541.0147705,0.118657298,
539.9614258,0.121589959,
539.0583496,0.123664536,
538.0045166,0.126426026,
536.9504395,0.129378259,
536.0467529,0.131458089,
534.9921875,0.133515149,
533.9373779,0.135253355,
533.0330811,0.137167648,
531.9777832,0.138898954,
531.0731201,0.140377313,
530.017334,0.14205654,
528.9613647,0.143418044,
528.0560303,0.144544825,
526.9995728,0.144971654,
525.9429321,0.146717072,
525.0369873,0.147543997,
523.9797974,0.148775324,
523.0734863,0.149280682,
522.0158691,0.150532976,
520.9580078,0.150932178,
520.0510864,0.152354688,
518.9927368,0.153186753,
517.9342041,0.153689653,
517.0266724,0.154254705,
515.9676514,0.155214787,
515.0596924,0.155708134,
514.0002441,0.156412333,
512.9405518,0.157184884,
512.0319824,0.157807976,
510.9718628,0.158324048,
510.0629578,0.158974901,
509.0023499,0.159160644,
507.9414978,0.159656644,
507.0320129,0.160096869,
505.9707031,0.160485968,
505.0608521,0.160456449,
503.999115,0.161333457,
502.9371338,0.160901204,
502.0266724,0.161014304,
500.9642639,0.160776407,
500.0534363,0.160032272,
498.9905701,0.160238251,
497.9274902,0.159527153,
497.0160828,0.158211201,
495.9525452,0.157434061,
495.0407715,0.156635091,
493.9768066,0.155271888,
493.0646667,0.154223099,
492.0002747,0.152231589,
490.9356384,0.150938556,
490.0229187,0.149519891,
488.9578857,0.147071913,
488.0447998,0.145755023,
486.9793091,0.143892542,
486.0658569,0.142417654,
484.999939,0.139502093,
483.9338074,0.137116,
483.0197754,0.135220453,
481.9532166,0.132916942,
481.0388489,0.130690828,
479.9718628,0.128262967,
479.0571289,0.125310242,
477.9897156,0.123331815,
477.0746155,0.120987482,
476.0068054,0.118631005,
474.9387512,0.115947515,
474.0231018,0.114362881,
472.9546509,0.111371033,
472.0386353,0.109068982,
470.9697571,0.107043639,
470.0534058,0.10483332,
468.9841003,0.102143586,
468.0674133,0.100620709,
466.9977112,0.097752087,
465.9277649,0.095510922,
465.0105286,0.094121806,
463.9401855,0.091095157,
463.0226135,0.089414358,
461.9518738,0.08711566,
461.033905,0.085046455,
459.9627686,0.082392231,
459.0444946,0.080369897,
457.9729309,0.078149326,
457.0542908,0.076809362,
455.9823608,0.074936628,
455.063385,0.073147997,
453.9910278,0.070903353,
453.0717163,0.068828836,
451.9989624,0.067247324,
450.9260254,0.065686457,
