Wavelength (nm),Abs,
799.932312,0.000319369,
798.9598389,3.84E-05,
797.9869995,0.000900704,
797.0137329,0.000166142,
796.0401001,0.001119716,
795.0661011,0.000557631,
793.9525146,0.000104074,
792.9777222,0.000479155,
792.0025024,0.000402688,
791.0269775,0.000739363,
790.0510254,0.00079286,
788.9352417,0.000753054,
787.9585571,0.000754947,
786.9814453,-0.000122009,
786.0039673,8.53E-05,
785.026123,0.000348539,
784.0479126,-5.71E-05,
783.0693359,0.000267018,
781.9505005,0.001072329,
780.9711304,0.000664561,
779.991394,0.000848879,
779.0112915,0.00074792,
778.0308228,-0.000214335,
777.0499878,0.000198254,
776.0687866,0.000992618,
774.9469604,-0.000341664,
773.9649658,6.32E-05,
772.982605,0.00033328,
771.9998779,0.000680013,
771.0167847,0.000710555,
770.0333252,0.000481435,
769.0494995,0.001313731,
768.0653687,-1.47E-05,
766.9401245,-0.000129514,
765.9551392,0.000583914,
764.9698486,0.000279529,
763.9841919,0.000409813,
762.9981079,0.000779089,
762.0117188,0.000556128,
761.0249634,0.000580726,
760.0378418,0.000220423,
759.050415,0.000581944,
758.062561,0.000123623,
756.9331665,1.53E-06,
755.9445801,0.000196286,
754.9556274,0.000623782,
753.9663086,0.000582385,
752.9766235,0.000682346,
751.9865723,-9.35E-05,
750.9962158,0.000552318,
750.0054932,0.00034499,
749.0144043,0.000749139,
748.0229492,0.000477133,
747.0311279,4.77E-05,
746.0390015,0.000327633,
745.0465088,0.000227649,
744.0536499,0.000526866,
743.0604248,0.001351666,
742.0668945,0.000621578,
740.9309692,0.000146047,
739.9366455,0.000692873,
738.9420166,0.000660335,
737.9470215,0.000503722,
736.9516602,0.000381753,
735.9559326,-2.51E-05,
734.9598999,-0.000122734,
733.963501,0.000224489,
732.9667969,0.000468012,
731.9696655,0.000223246,
730.972229,0.00104228,
729.9744873,6.93E-05,
728.9763794,0.000399397,
727.9779053,-0.000269182,
726.9790649,0.000391002,
725.9799194,0.000498902,
724.9804077,0.00030165,
723.9805908,0.000452127,
722.9804077,0.000154929,
721.9798584,0.000850876,
720.9790039,-0.00020383,
719.9778442,-0.000129462,
718.9762573,0.000537803,
717.9744263,8.34E-05,
716.972168,0.000424478,
715.9696045,0.000227623,
714.9667358,0.000738507,
713.963501,0.000320897,
712.9598999,0.0002363,
711.9559937,0.000298853,
710.9517822,0.000464073,
709.9472046,0.000132945,
708.9422607,0.000456169,
707.9370117,0.000754714,
706.9314575,0.000374084,
706.0692139,0.000316338,
705.0630493,0.000706977,
704.0565186,0.000581088,
703.0496216,0.000345171,
702.0424194,0.00082201,
701.0349121,0.000280151,
700.0270386,0.000596693,
699.0188599,0.000543972,
698.0103149,0.000670291,
697.0014648,0.000409761,
695.9923096,0.000144364,
694.9827881,0.000515592,
693.9729614,0.000584925,
692.9627686,0.000854585,
691.9522705,0.000202527,
690.9414673,0.000570357,
689.9302979,0.000861251,
689.0633545,0.00017404,
688.0516357,0.000623523,
687.0395508,0.000367995,
686.0271606,0.000789255,
685.0144043,0.000670524,
684.0013428,0.00086924,
682.9879761,0.000219543,
681.9743042,0.000926359,
680.9602661,0.001207004,
679.9459229,0.000397791,
678.9312744,0.000389189,
678.0613403,0.001178711,
677.0460815,0.00078718,
676.0305176,0.000746701,
675.0146484,0.001437365,
673.9984131,0.000974431,
672.9818726,0.000709207,
671.9650269,0.00077131,
670.947876,0.001066438,
669.9304199,0.000922053,
669.0580444,0.001129864,
668.039978,0.001501234,
667.0216064,0.001797145,
666.0028687,0.001828156,
664.9838867,0.001249292,
663.9645386,0.001831197,
662.9448853,0.002368516,
662.0706787,0.002470555,
661.0504761,0.002399307,
660.0299072,0.002489743,
659.0090942,0.003075634,
657.987915,0.003190123,
656.9664917,0.003130932,
655.9447021,0.002633947,
655.0686646,0.003259805,
654.0463257,0.003644148,
653.0236206,0.004079574,
652.0006714,0.003966706,
650.977417,0.005035111,
649.9537964,0.004799485,
648.9299316,0.004757347,
648.052063,0.005037206,
647.0275879,0.005635541,
646.0028687,0.005433847,
644.9777832,0.006244051,
643.9523926,0.006276459,
642.9267578,0.006068848,
642.0473633,0.006789384,
641.0211182,0.007576572,
639.9945679,0.007558239,
638.9677124,0.00824123,
637.9405518,0.008064928,
637.0599365,0.008009421,
636.0322266,0.008774154,
635.0042114,0.00838931,
633.9758911,0.008897764,
632.9473267,0.009307124,
632.0654297,0.009028571,
631.0362549,0.009361529,
630.0067749,0.009675181,
628.9770508,0.009549152,
627.9470215,0.009134673,
627.0638428,0.009377822,
626.0332642,0.009433743,
625.0023804,0.008641521,
623.9711914,0.009085293,
622.9396973,0.009231441,
622.0552979,0.008294709,
621.0233154,0.009261612,
619.9909668,0.00821076,
618.958374,0.008592092,
618.072998,0.008069782,
617.039856,0.007585449,
616.0064087,0.007605048,
614.9726563,0.007207526,
613.9386597,0.007754493,
613.052124,0.007304023,
612.0175171,0.006975821,
610.982666,0.006620427,
609.9475098,0.006912142,
609.0599976,0.006746344,
608.024353,0.007135654,
606.9884033,0.00628179,
605.9521484,0.006443732,
605.0636597,0.006866143,
604.0269165,0.006450721,
602.9898071,0.006330957,
601.9524536,0.006366102,
601.0631104,0.006694895,
600.0252075,0.007035828,
598.9870605,0.006227008,
597.9486084,0.006929185,
597.0582886,0.007364759,
596.0192871,0.007186182,
594.9800415,0.007575281,
593.9404907,0.008191634,
593.0492554,0.008224873,
592.0092163,0.008296767,
590.9688721,0.009073556,
589.9282227,0.009656229,
589.0360718,0.010200699,
587.9949341,0.010188482,
586.9535522,0.011103072,
586.0606689,0.01184867,
585.0187378,0.012625395,
583.9765625,0.013773401,
582.934082,0.014469055,
582.0403442,0.015846932,
580.9973145,0.016674476,
579.9541016,0.017957902,
579.0596313,0.019034229,
578.0158691,0.020736629,
576.9718018,0.021866342,
575.9274902,0.024158048,
575.0321655,0.02597115,
573.9873657,0.028147774,
572.9422607,0.030890726,
572.0462646,0.032656495,
571.0006714,0.035484787,
569.954834,0.03863715,
569.0581665,0.040865615,
568.0117798,0.044003308,
566.9651489,0.048373058,
566.0678711,0.051843341,
565.020752,0.055742539,
563.9733276,0.060182713,
562.9256592,0.065286227,
562.0274658,0.06988325,
560.9793091,0.075341478,
559.9309082,0.081143655,
559.0320435,0.086378127,
