Pwade FP,,
Wavelength (nm),Abs,
800.0012817,0.016891122,
799.0314331,0.015697522,
798.0611572,0.014769412,
796.9518433,0.016472241,
795.9807739,0.016228287,
795.0093384,0.017508343,
794.0375366,0.016586605,
793.0653687,0.014950626,
791.9537964,0.015134381,
790.980835,0.016334308,
790.0074463,0.015311618,
789.0337524,0.015291427,
788.0596313,0.014898035,
786.9459229,0.015322747,
785.9710083,0.014849656,
784.9957275,0.013099109,
784.0200806,0.015499095,
783.0440674,0.015846904,
782.067688,0.015524366,
780.951355,0.018163338,
779.9741821,0.015685122,
778.9966431,0.018096136,
778.0187378,0.018241217,
777.0404053,0.015764276,
776.0617676,0.015840812,
774.9428711,0.015038085,
773.9634399,0.015538988,
772.9836426,0.016329469,
772.003479,0.014719601,
771.0229492,0.016475253,
770.0420532,0.016158506,
769.060791,0.017500043,
767.9389038,0.017442292,
766.9569092,0.015833186,
765.9744873,0.016593678,
764.9917603,0.017006055,
764.008606,0.017789289,
763.0251465,0.016297674,
762.0413208,0.015994513,
761.0571289,0.01824308,
759.9318848,0.018450219,
758.9468994,0.017866561,
757.9616089,0.018579531,
756.9758911,0.018269239,
755.9898682,0.018834408,
755.003479,0.01767806,
754.0167236,0.017958172,
753.0296021,0.018475015,
752.0421143,0.01691634,
751.0543213,0.017162271,
750.0661011,0.017647864,
748.9363403,0.016889561,
747.9473877,0.01885663,
746.9581299,0.018062564,
745.9684448,0.017506914,
744.9784546,0.018127415,
743.9881592,0.018123502,
742.9974365,0.016791074,
742.0064087,0.016333286,
741.0150146,0.01917178,
740.0232544,0.018274585,
739.0311279,0.017802099,
738.0386963,0.018616548,
737.0458984,0.017762484,
736.0527344,0.018369982,
735.0592651,0.019467205,
734.0654297,0.018334419,
732.9291992,0.017815692,
731.9346313,0.018294349,
730.9396973,0.018556325,
729.944397,0.01937403,
728.9487915,0.018330935,
727.9528198,0.018742802,
726.956543,0.018470151,
725.9598999,0.018632732,
724.9628906,0.019069552,
723.9655762,0.01885955,
722.9678955,0.019279009,
721.9699097,0.01810782,
720.9715576,0.018670563,
719.9728394,0.019015867,
718.9738159,0.019153491,
717.9744263,0.020385398,
716.9747314,0.019374058,
715.9746704,0.019391002,
714.9742432,0.019854462,
713.9735107,0.019377386,
712.9724731,0.0203405,
711.9710693,0.02037026,
710.9692993,0.020977098,
709.9672241,0.020406587,
708.9648438,0.020890689,
707.9620972,0.020899571,
706.9590454,0.020985411,
705.9556274,0.020534584,
704.9518433,0.021328945,
703.9477539,0.021327423,
702.9433594,0.021582121,
701.9385986,0.021381831,
700.9335327,0.020881971,
699.9281616,0.020899653,
699.0661011,0.021724263,
698.0600586,0.021607505,
697.0537109,0.021300018,
696.0470581,0.020827055,
695.0400391,0.020666962,
694.0327148,0.021235805,
693.0250854,0.022056397,
692.0170898,0.022733733,
691.008728,0.021429719,
690.0001221,0.021479789,
688.9911499,0.021910472,
