Wavelength (nm),Abs,
800.0012817,0.003138389,
799.0314331,0.003685369,
798.0611572,0.003248121,
796.9518433,0.002949292,
795.9807739,0.00219414,
795.0093384,0.003348177,
794.0375366,0.001896477,
793.0653687,0.001437001,
791.9537964,0.004688208,
790.980835,0.002673223,
790.0074463,0.002271418,
789.0337524,0.004258185,
788.0596313,0.000107207,
786.9459229,0.002290076,
785.9710083,0.001547395,
784.9957275,0.004788884,
784.0200806,0.002726359,
783.0440674,0.002292522,
782.067688,0.001217024,
780.951355,0.003309936,
779.9741821,0.003889648,
778.9966431,0.003275533,
778.0187378,0.002643011,
777.0404053,0.004253898,
776.0617676,0.001341851,
774.9428711,0.003421016,
773.9634399,0.002772364,
772.9836426,0.003110022,
772.003479,0.0019406,
771.0229492,0.000943351,
770.0420532,0.001228991,
769.060791,0.003449951,
767.9389038,0.002221693,
766.9569092,0.00386703,
765.9744873,0.002839791,
764.9917603,0.00232768,
764.008606,0.003170096,
763.0251465,0.001989486,
762.0413208,0.001166226,
761.0571289,0.002732793,
759.9318848,0.002469488,
758.9468994,0.002305664,
757.9616089,0.003293164,
756.9758911,0.002592592,
755.9898682,0.00160333,
755.003479,0.003107884,
754.0167236,0.004115191,
753.0296021,0.003235003,
752.0421143,0.00300572,
751.0543213,0.001797535,
750.0661011,0.001590885,
748.9363403,0.002894304,
747.9473877,0.003189836,
746.9581299,0.001802837,
745.9684448,0.0015714,
744.9784546,0.003562764,
743.9881592,0.002938267,
742.9974365,0.003047688,
742.0064087,0.002369583,
741.0150146,0.00154168,
740.0232544,0.003190227,
739.0311279,0.003219095,
738.0386963,0.003793254,
737.0458984,0.002175929,
736.0527344,0.002890447,
735.0592651,0.002120362,
734.0654297,0.003629739,
732.9291992,0.003935777,
731.9346313,0.003068335,
730.9396973,0.002595821,
729.944397,0.00280209,
728.9487915,0.003607682,
727.9528198,0.003209628,
726.956543,0.002664133,
725.9598999,0.003972349,
724.9628906,0.004162911,
723.9655762,0.003028528,
722.9678955,0.002207617,
721.9699097,0.00364702,
720.9715576,0.003548618,
719.9728394,0.003191791,
718.9738159,0.002904284,
717.9744263,0.002590353,
716.9747314,0.002705807,
715.9746704,0.003952521,
714.9742432,0.002574624,
713.9735107,0.003932355,
712.9724731,0.003182169,
711.9710693,0.003354724,
710.9692993,0.003597216,
709.9672241,0.002905718,
708.9648438,0.002500131,
707.9620972,0.002843152,
706.9590454,0.003322117,
705.9556274,0.003168453,
704.9518433,0.00329499,
703.9477539,0.003474636,
702.9433594,0.003355611,
701.9385986,0.003687797,
700.9335327,0.00293957,
699.9281616,0.002846722,
699.0661011,0.003558118,
698.0600586,0.003905947,
697.0537109,0.003024671,
696.0470581,0.00380652,
695.0400391,0.003967359,
694.0327148,0.004374737,
693.0250854,0.003991733,
692.0170898,0.003748943,
691.008728,0.004612671,
690.0001221,0.00424901,
688.9911499,0.004448298,
687.9818726,0.003194086,
