G2 Trop Cool,,
Wavelength (nm),Abs,
800.0012817,0.01056137,
799.0314331,0.011230429,
798.0611572,0.010075207,
796.9518433,0.01280713,
795.9807739,0.012096751,
795.0093384,0.011058939,
794.0375366,0.01246313,
793.0653687,0.01141352,
791.9537964,0.012823553,
790.980835,0.010776951,
790.0074463,0.00942049,
789.0337524,0.011383172,
788.0596313,0.011110987,
786.9459229,0.009706838,
785.9710083,0.01063206,
784.9957275,0.012941707,
784.0200806,0.01136412,
783.0440674,0.012682589,
782.067688,0.011546284,
780.951355,0.01247701,
779.9741821,0.011018526,
778.9966431,0.010560442,
778.0187378,0.011996628,
777.0404053,0.012752745,
776.0617676,0.01246931,
774.9428711,0.01023637,
773.9634399,0.011508192,
772.9836426,0.010775358,
772.003479,0.011947533,
771.0229492,0.012535969,
770.0420532,0.011349426,
769.060791,0.01266156,
767.9389038,0.010233958,
766.9569092,0.011429519,
765.9744873,0.012578468,
764.9917603,0.012410333,
764.008606,0.011788128,
763.0251465,0.01249318,
762.0413208,0.012388226,
761.0571289,0.010635748,
759.9318848,0.012193061,
758.9468994,0.013447645,
757.9616089,0.013181101,
756.9758911,0.012096457,
755.9898682,0.013756354,
755.003479,0.012649087,
754.0167236,0.012076601,
753.0296021,0.010685277,
752.0421143,0.013375668,
751.0543213,0.011713101,
750.0661011,0.013447298,
748.9363403,0.012803344,
747.9473877,0.013168346,
746.9581299,0.012674886,
745.9684448,0.012017119,
744.9784546,0.012132126,
743.9881592,0.011421227,
742.9974365,0.013686489,
742.0064087,0.013070164,
741.0150146,0.01238415,
740.0232544,0.01294264,
739.0311279,0.01284043,
738.0386963,0.012553607,
737.0458984,0.011640825,
736.0527344,0.012259118,
735.0592651,0.012510897,
734.0654297,0.012362869,
732.9291992,0.012004452,
731.9346313,0.012357676,
730.9396973,0.01199543,
729.944397,0.012987766,
728.9487915,0.01371243,
727.9528198,0.012999183,
726.956543,0.012436545,
725.9598999,0.012461345,
724.9628906,0.012502025,
723.9655762,0.013466602,
722.9678955,0.013269299,
721.9699097,0.012021457,
720.9715576,0.012861681,
719.9728394,0.013086678,
718.9738159,0.012562933,
717.9744263,0.012716919,
716.9747314,0.012198759,
715.9746704,0.013022709,
714.9742432,0.012936506,
713.9735107,0.012733339,
712.9724731,0.013298444,
711.9710693,0.013018333,
710.9692993,0.01303031,
709.9672241,0.012627554,
708.9648438,0.012910719,
707.9620972,0.013409706,
706.9590454,0.013191828,
705.9556274,0.013356688,
704.9518433,0.013680666,
703.9477539,0.01279436,
702.9433594,0.013350842,
701.9385986,0.013456136,
700.9335327,0.013283551,
699.9281616,0.013856482,
699.0661011,0.013497871,
698.0600586,0.013655501,
697.0537109,0.013192948,
696.0470581,0.014072582,
695.0400391,0.014604817,
694.0327148,0.01309236,
693.0250854,0.013633945,
692.0170898,0.014281995,
691.008728,0.014051272,
690.0001221,0.014260408,
688.9911499,0.013645244,
687.9818726,0.012870187,
686.972229,0.01371251,
685.9622803,0.013435978,
684.9520264,0.013817545,
683.9414063,0.014342511,
682.930481,0.014452675,
682.0637817,0.014453291,
681.0522461,0.014770483,
680.0404053,0.013456243,
679.0282593,0.013223102,
678.0158081,0.014957511,
677.0029907,0.014432766,
675.9898682,0.013349294,
674.9764404,0.015845267,
673.9627075,0.014930585,
672.9486084,0.015912633,
671.9342041,0.015632497,
671.0645142,0.015220699,
670.0494995,0.015715612,
669.0342407,0.015511113,
668.0186157,0.015994271,
667.0026855,0.016654301,
665.9864502,0.015503789,
664.9699097,0.016634371,
663.9530029,0.016957143,
662.9358521,0.017037578,
662.0637207,0.017262353,
661.0459595,0.01734427,
660.0278931,0.017269328,
659.0095215,0.016830465,
657.9907837,0.018128198,
656.9718018,0.018950289,
655.9524536,0.018478714,
654.9328613,0.019483935,
654.0585938,0.020176005,
653.0383911,0.019939473,
652.0178833,0.020376038,
650.9970703,0.02067345,
649.9759521,0.019592948,
648.9545288,0.021419114,
647.9328003,0.022578772,
647.0567627,0.022939341,
646.0344849,0.023042755,
645.0118408,0.023500405,
643.9889526,0.02425606,
642.9656982,0.024539242,
641.9421997,0.025267186,
641.0646362,0.024650626,
640.0405273,0.025902892,
639.0161743,0.027214445,
637.9914551,0.026423231,
636.9664917,0.02753037,
635.9411621,0.028136479,
635.0621338,0.028459569,
634.0362549,0.028517339,
633.0101318,0.029049484,
631.9836426,0.029666891,
630.9569092,0.029376496,
629.9298706,0.029650455,
629.0493164,0.029090779,
628.0217285,0.028607104,
626.9938354,0.02853,
625.9656372,0.028838059,
624.9371338,0.028279427,
624.0553589,0.02821959,
623.0263062,0.028553221,
621.9970093,0.027050549,
620.9673462,0.027791576,
619.937439,0.027635215,
619.0544434,0.028057303,
618.0239868,0.025428571,
616.9932251,0.026885808,
615.9621582,0.026454456,
614.9308472,0.026134886,
614.0466309,0.025670966,
