Wavelength (nm),Abs,
799.932312,0.001551785,
798.9598389,0.001199632,
797.9869995,0.001234702,
797.0137329,0.002483026,
796.0401001,0.002564651,
795.0661011,0.001864499,
793.9525146,0.002310426,
792.9777222,0.001181436,
792.0025024,0.001421444,
791.0269775,0.001404537,
790.0510254,0.001727462,
788.9352417,0.002050914,
787.9585571,0.002373253,
786.9814453,0.00112296,
786.0039673,0.001184188,
785.026123,0.001676111,
784.0479126,0.000599804,
783.0693359,0.001917641,
781.9505005,0.001038777,
780.9711304,0.001242101,
779.991394,0.002255311,
779.0112915,0.002045218,
778.0308228,0.002248285,
777.0499878,0.001920397,
776.0687866,0.001320845,
774.9469604,0.001148966,
773.9649658,0.00222289,
772.982605,0.001210275,
771.9998779,0.001916523,
771.0167847,0.001693574,
770.0333252,0.002393555,
769.0494995,0.001903263,
768.0653687,0.00160915,
766.9401245,0.000853755,
765.9551392,0.001562567,
764.9698486,0.001379919,
763.9841919,0.00187456,
762.9981079,0.001687233,
762.0117188,0.001637809,
761.0249634,0.001162644,
760.0378418,0.002018222,
759.050415,0.001175077,
758.062561,0.001533445,
756.9331665,0.001728658,
755.9445801,0.001651321,
754.9556274,0.001127658,
753.9663086,0.001211547,
752.9766235,0.001708309,
751.9865723,0.001991228,
750.9962158,0.001413367,
750.0054932,0.001671226,
749.0144043,0.001726059,
748.0229492,0.002094558,
747.0311279,0.001588105,
746.0390015,0.001861873,
745.0465088,0.001517677,
744.0536499,0.002138935,
743.0604248,0.001994115,
742.0668945,0.001653088,
740.9309692,0.002478548,
739.9366455,0.001649138,
738.9420166,0.001572673,
737.9470215,0.001514092,
736.9516602,0.001290259,
735.9559326,0.001575271,
734.9598999,0.002149393,
733.963501,0.001767202,
732.9667969,0.001827116,
731.9696655,0.00185241,
730.972229,0.001895177,
729.9744873,0.001954017,
728.9763794,0.001501338,
727.9779053,0.002025192,
726.9790649,0.00129366,
725.9799194,0.001760054,
724.9804077,0.001847783,
723.9805908,0.001619803,
722.9804077,0.001696043,
721.9798584,0.001638952,
720.9790039,0.00186832,
719.9778442,0.001961454,
718.9762573,0.001865981,
717.9744263,0.001750333,
716.972168,0.001927339,
715.9696045,0.001840478,
714.9667358,0.002114769,
713.963501,0.001420224,
712.9598999,0.001165006,
711.9559937,0.0018306,
710.9517822,0.001827532,
709.9472046,0.00159286,
708.9422607,0.0015979,
707.9370117,0.001855608,
706.9314575,0.001502039,
706.0692139,0.001337618,
705.0630493,0.001451052,
704.0565186,0.001388099,
703.0496216,0.001609618,
702.0424194,0.00167042,
701.0349121,0.001610995,
700.0270386,0.002018118,
699.0188599,0.001508066,
698.0103149,0.001983349,
697.0014648,0.001572361,
695.9923096,0.00127045,
694.9827881,0.0015515,
693.9729614,0.002053437,
692.9627686,0.001926767,
691.9522705,0.001468324,
690.9414673,0.001729334,
